"MRK.6.1", "Na Jesus fii hɔ kɔree, na ɔbaa nankasa no kurow mu, na n’esuafo no dzii n’ekyir.", ""
"MRK.6.36", "gyaa hɔn ma wɔnkɔ nkuroba nye nkuraase a etwa ehyia yi mu nkɔtɔ biribi ndzi.", ""
"MRK.6.37", "Na Jesus buaa hɔn dɛ,  Homara hom mma hɔn biribi ma wondzi.  Na wɔsee no dɛ, Ana yɛnkɔtɔ paanoo sika denare ahaenu mfa mma hɔn ma wondzi?", ""
"MRK.6.38", "Na ɔsee hɔn dɛ,  Hom wɔ paanoo ahen? Hom nkɔhwɛ.  Na wɔkɔhwɛe no wɔsee dɛ, Enum, nye esunam ebien.", ""
"MRK.6.39", "Na ɔhyɛɛ hɔn dɛ wɔmma hɔn nyinara ntsenatsena ekuw ekuw wɔ efuw momon no do.", ""
"MRK.6.40", "Na wɔtsenatsenaa akyerɛpɛn akyerɛpɛn, ɔha, ɔha, nye eduonum, eduonum.", ""
"MRK.6.41", "Na ɔfaa paanoo enum no, nye esunam ebien no, na ɔhwɛɛ sor no, ohyiraa do, na obubuu paanoo no, na ɔdze maa n’esuafo no dɛ wɔmfa ntoto hɔn enyim; na ɔkyɛɛ esunam ebien no mu maa hɔn nyinara.", ""
"MRK.6.42", "Na hɔn nyina dzidzii na wɔmee.", ""
"MRK.6.43", "Na wɔtasee mporoporoba nkɛntsɛn duebien nye esunam no so bi.", ""
"MRK.6.44", "Na hɔn a wodzii paanoo no, wɔyɛ mbarimba mpemenum.", ""
"MRK.6.45", "Na ntsɛmara opiapiaa n’esuafo no dɛ wɔnkɔ hɛn mu na wondzi n’enyim kan wɔ esuegya noho wɔ Bɛtsaeda, ma ɔno nhwɛ, ngya nyimpadodow no kwan.", ""
"MRK.6.46", "Na ɔkraa hɔn no, osii mu kɔr kokwaa do kɔsɔree.", ""
"MRK.6.47", "Na odur anafua no, nna hɛn no wɔ po finimfin, na no nko wɔ daadze.", ""
"MRK.6.48", "Na ohun dɛ wɔrofona akwan, osiandɛ mframa esi hɔn enyim no, bɛyɛ anafua dasu a otsia anan no mu no ɔnantseew po enyi baa hɔn nkyɛn, na ɔyɛɛ dɛ ɔrepɛ apa hɔn ho;", ""
"MRK.6.49", "na hɔn dze, wohun dɛ ɔrenantsew po enyi no, wɔdween dɛ saman a, na wɔkekaa mu,", ""
"MRK.6.50", "osiandɛ hɔn nyina hun no ma hɔn akoma tui. Na ntsɛmara ɔnye hɔn kasae, na ɔsee hɔn dɛ,  Hom nhyɛ dzen: mara a, mma hom nnsuro.", ""
"MRK.6.51", "Na ɔkɔr hɔn nkyɛn wɔ hɛn no mu, na mframa no gyaae. Na hɔn ho boow hɔn dodoodow koraa,", ""
"MRK.6.52", "osiandɛ wɔanntse paanoo no ho asɛm no ase, nna hɔn akoma epirim.", ""
"MRK.6.53", "Na wotwae no, wɔbaa Genesaret asaase do na wodwirii.", ""
"MRK.6.54", "Na wofii hɛn mu no, ntsɛmara na wohun no,", ""
"MRK.6.55", "na wotutuu mbirika kekyiin asaase nyina mu, na wɔhyɛɛ ase soaa hɔn a wɔyar wɔ nkɛtɛ do baa beebiara a wɔtsee dɛ ɔwɔ no.", ""
"MRK.6.56", "Na beebiara a ɔkɔree, nkurobaase anaa nkurow anaa nkuroba mu o, wɔdze ayarfo totoo gua do, na wɔserɛɛ no dɛ ɔmma wɔmfa hɔn nsa nka n’atar ano ndwow nko kɛkɛ; na dodow a wɔkaa no no, hɔn ho yɛɛ hɔn dzen.", ""
