"EZK.28.1", "EWURADZE n'asɛm baa mo hɔ bio, dɛ,", ""
"EZK.28.2", "Onyimpa ba, ka kyerɛ Taere mampanyin no dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ ama w'akoma do, na ase dɛ, Meyɛ nyame, metse nyamegua do, wɔ po finimfin, naaso eyɛ nyimpa na ennyɛ nyame bi, kaansa eyɛɛ w'akoma dɛ nyame akoma mpo a.", ""
"EZK.28.3", "Hwɛ, eyɛ nyansafo sen Daniel; esumadze biara nnyi hɔ a wobotum wɔdze esuma wo:", ""
"EZK.28.4", "ɔnam wo nyansaa na wo ntseasee do na enya woho, na enya sika na dwetɛ egu w'adzekoradze mu.", ""
"EZK.28.5", "Ɔnam wo nyansaa dodow wɔ eguadzi mu na ama w'ahonya adɔɔ so, na ama w'akoma do wɔ w'ahonya ntsi.", ""
"EZK.28.6", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ ayɛ w'akoma dɛ nyame akoma;", ""
"EZK.28.7", "ntsi hwɛ, medze ananaben mebɛba wo do, amanaman mu etsiɔdzenfo no a: na wɔbɔtwetwe hɔn mfona wɔ wo nyansaa ne fɛw do, na woegu wo hyerɛn ho fi.", ""
"EZK.28.8", "Wɔdze wo besian akɔ mona no mu; na ibowu atɔfo wu wɔ po finimfin.", ""
"EZK.28.9", "Aso ebɛda ho aka dɛ, Meyɛ nyame, wɔ nyia oku wo no enyim, ber a eyɛ nyimpa, na ennyɛ nyame, wɔ nyia opira wo no ne nsamu?", ""
"EZK.28.10", "Ibowu monomonomfo wu wɔ ananaben nsamu: na emi na maka, EWURADZE Nyankopɔn na ɔse.", ""
"EZK.28.11", "Bio so EWURADZE n'asɛm baa mo hɔ, dɛ,", ""
"EZK.28.12", "Onyimpa ba, ma sukwadwom do wɔ Taerehen ho, na se no dɛ, Mbrɛ EWURADZE Nyankopɔn se nyi yi: Ɔwo dze, nsɔwano nkaba a ɔso pɛ nye wo, nyansa ahyɛ wo ma, na idzi mu wɔ ahoɔfɛw mu.", ""
"EZK.28.13", "Ɔwo nkyɛ ewɔ Nyame no ture Eden mu; aboɔdzembo biara yɛɛ w'akataho, bɔgyanambo, kratsebo, nye dɛnkyɛmbo, sikabereebo, epopobibirbo, na ahwehwɛbo, hoabo, nserɛmɛmbo, na ahabanmomonbo wɔyɛɛ sika edwindze maa wo: na w'ahosiesiedze. Da a wɔbɔɔ wo no na wosiesiee hɔn.", ""
"EZK.28.14", "Ɔwo na eyɛɛ kerub a wɔasera no no a ɔkata do no: na medze wo sii hɔ, ma ebɛtsenaa Nyame bepɔw krɔnkrɔn no no do; gya abo no ntamu na enantsewee dzii fowsian.", ""
"EZK.28.15", "Idzii mu wɔ w'akwan mu fi da a wɔbɔɔ wo araa dze kodur dɛ wohun ɔbrakyew wɔ wo mu.", ""
"EZK.28.16", "W'eguadze dodow ntsi wɔdze emimdzi hyɛɛ wo mu ma, na eyɛɛ bɔn: dɛm ntsi na motoow wo kyeen dɛ atantandze fii Nyame bepɔw no do; na Kerub a ɔweɔn wo no paam wo fii gya abo no ntamu.", ""
"EZK.28.17", "Emaa w'akoma do wɔ w'ahoɔfɛw ntsi, edze wo hyerɛn ama wo nyansaa aprɔw: matow wo akyen famu, medze wo ato ahemfo enyim, dɛ wɔnhwɛ wo.", ""
"EZK.28.18", "W'emumuyɛ no dodow ntsi, w'eguadzi mu brakyew ntsi, egu wo krɔnkrɔnmbea ho fi; dɛm ntsi na mama gya fir wo mu efir edzi, ɔahyew wo, na madan wo nso wɔ asaase do wɔ hɔn a wɔhwɛ wo nyina enyiwa do.", ""
"EZK.28.19", "Hɔn a wonyim wo aman mu nyina ho bɔbow hɔn wɔ wo ho: w'ewiei adan ehudze, na erenntsena hɔ ara bio da.", ""
"EZK.28.20", "Na EWURADZE n'asɛm baa mo hɔ, dɛ,", "#Joel 3.4-8; Zek 9.1, 2; Mat 11.21, 22; Luk 10.13, 14"
"EZK.28.21", "Onyimpa ba, fa w'enyi si Sidon do, na hyɛ nkɔm gu do,", ""
"EZK.28.22", "na se dɛ, Mbrɛ EWURADZE Nyankopɔn se nye iyi: O Sidon, menye wo enya; na wɔbɛhyɛ me enyimnyam wɔ wo mu. Wobohu dɛ emi nye EWURADZE, ber a mewie no mu atsɛmbudze yɛ, na masan moho wɔ no mu.", ""
"EZK.28.23", "Na mobɔsoma yardɔm akɔ no mu, na bɔgya akɔ n'abrɔn mu; na ewufo bɔtotɔ famu wɔ no mu, wɔ afona a ofi mbeambea bɛba no do no ano; na wobohu dɛ emi nye EWURADZE.", ""
"EZK.28.24", "Na nsoɛ a ɔwɔ, anaa hwirom a ano yɛ yaw, rimmfi hɔn a woetwa hɔn ho ehyia a wobu hɔn enyimtsia no mu nnko hɔ mma Israel fie bio; na wobohu dɛ emi nye EWURADZE Nyankopɔn.", ""
"EZK.28.25", "Mbrɛ EWURADZE Nyankopɔn se nye iyi: Sɛ minya boa Israel fie ano aman a wɔapetse mu no mu, na mo ho san wɔ hɔn mu wɔ amanaman enyim a, nna wɔbɛtsena hɔnankasa hɔn asaase a medze maa m'akowaa Jakob no mu.", ""
"EZK.28.26", "Na wɔbɛtsena do dwudwoodwo; nyew, wobesisi adan, na wɔatsetsɛw wenyin nture, na wɔatsena dwudwoodwo; sɛ minya yɛ atsɛmbudze wɔ hɔn a wobu hɔn enyimtsia bɔ hɔn ho aprɔw nyina do a; na wobohu dɛ emi nye EWURADZE hɔn Nyankopɔn.", ""
