"LEV.8.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"LEV.8.2", "Fa Aaron nye ne mbabanyin no ka no ho, na ntar no, nye ɔserango no, nye bɔn ho afɔr nantwisaa no, nye nguannyin ebien no, nye epitsi boodoo kɛntsɛn no,", ""
"LEV.8.3", "na mboanofo no nyinara mbɔ ngua wɔ ehyiadzibuw no n’abowano.", ""
"LEV.8.4", "Na Moses yɛɛ dɛ mbrɛ EWURADZE hyɛɛ no no; na mboanofo bɔɔ ngua wɔ ehyiadzibuw no n’abowano.", ""
"LEV.8.5", "Na Moses see mboanofo no dɛ, Iyi nye adze a EWURADZE ahyɛ dɛ wɔnyɛ.", ""
"LEV.8.6", "Na Moses dze Aaron nye ne mbabanyin no bae, na ɔdze nsu hohoor hɔn ho.", ""
"LEV.8.7", "Na ɔdze sortar no hyɛɛ no, na ɔdze abɔyamu no bɔɔ no do, na ɔdze bataker no hyɛɛ no, na ɔdze egugudo no guu no, na ɔdze egugudo ne nkyermu nkyekyermu no bɔɔ no do, na ɔdze kyekyeer no.", ""
"LEV.8.8", "Na ɔdze akatabo no hyɛɛ no: na ɔdze Urim nye Tummim (Kan na Emudzi) no hyɛɛ akatabo no mu.", ""
"LEV.8.9", "Na ɔdze asɔfokyɛw no hyɛɛ ne tsir: na ɔdze sika abɔtsir, abɔenyim krɔnkrɔn no, bɔɔ asɔfokyɛw no ho, wɔ n’enyim afamu; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"LEV.8.10", "Na Moses faa ɔserango, na ɔdze seraa ntamadan no nye dza ɔwɔ mu nyinara, na ɔyɛɛ no krɔnkrɔn.", ""
"LEV.8.11", "Na ɔdze bi petsee afɔrmbukyia no do mpɛn esuon, na ɔseraa afɔrmbukyia no nye no ho ndzɛmba nyinara, nye eguarsɛn no nye ne ntaease no ngo dze yɛɛ no krɔnkrɔn.", ""
"LEV.8.12", "Na ohuee ɔserango no bi guu Aaron n’etsifi, na ɔseraa no ngo dze yɛɛ no krɔnkrɔn.", ""
"LEV.8.13", "Na Moses dze Aaron mbabanyin no bae, na ɔdze sorntar hyehyɛɛ hɔn, na ɔdze abɔyamu bobɔɔ hɔn do, na ɔdze abɔtsir bobɔɔ hɔn; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"LEV.8.14", "Na ɔdze bɔn ho afɔr nantwisaa no bae: na Aaron nye ne mbabanyin no dze hɔn nsa guu bɔn ho afɔr nantwisaa no n’etsifi.", ""
"LEV.8.15", "Na Moses kum no; na ɔdze ne nsatseaba faa mbɔgya no bi, na ɔdze kekaa afɔrmbukyia no ne mmbɛn ho hyiae, na ɔtseew afɔrmbukyia no ho, na ohuee bɔgya no guu afɔrmbukyia no ase, na ɔyɛɛ no krɔnkrɔn, dze yɛɛ mpatadze.", ""
"LEV.8.16", "Na ɔfaa seradze a ɔwɔ ayamudze no ho no nyinara, nye berɛbo do ntentan no, nye nsɛbɛ ebien no, nye no ho seradze no, na Moses hyeew no wɔ afɔrmbukyia no do.", ""
"LEV.8.17", "Na ɔnantwisaa no, nye no nwoma, nye ne nam, nye n’egyanan, ɔdze ogya hyeew no wɔ nseraban no ekyir; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"LEV.8.18", "Na ɔdze ɔhyew afɔr oguannyin no bae: na Aaron nye ne mbabanyin dze hɔn nsa guu oguannyin no etsifi.", ""
"LEV.8.19", "Na Moses kum no: na ɔdze bɔgya no petsee afɔrmbukyia no do hyiae.", ""
"LEV.8.20", "Na otwitwaa oguannyin no mu esinesin; na ɔhyeew tsir no, nye esinesin no, nye seradze no.", ""
"LEV.8.21", "Na ɔdze nsu hohoor ayamudze nye ntwɛr no ho; na afei ɔhyeew oguannyin mu no nyinara wɔ afɔrmbukyia no do: ɔyɛ ɔhyew afɔr a oyi nka huanhuam: ɔyɛ EWURADZE ogya afɔr; dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"LEV.8.22", "Na ɔdze oguannyin kor no so, etuhoakyɛ afɔr oguannyin no, bae: na Aaron nye ne mbabanyin no dze hɔn nsa guu oguannyin no etsifi.", ""
"LEV.8.23", "Na Moses kum no; na ɔfaa no bɔgyaa no bi, na ɔdze kaa Aaron n’aso nyimfa ano, na ne nsa nyimfa kokrobetsir, nye ne nan nyimfa kokonyin no ano.", ""
"LEV.8.24", "Na ɔdze Aaron mbabanyin no bae, na Moses dze bɔgya no bi kekaa hɔn aso nyimfa ano, nye hɔn nsa nyimfa kokrobetsir, nye hɔn anan nyimfa kokonyin no ano: na Moses dze bɔgya no petsee afɔrmbukyia no do hyiae.", ""
"LEV.8.25", "Na ɔfaa seradze no, nye seradze dua no, nye nsɛbɛ ebien no, nye no ho seradze no, nye aserɛ nyimfa no:", ""
"LEV.8.26", "na ɔfaa epitsi boodoo kɛntsɛn a osi EWURADZE enyim no mu epitsi tatar kor, nye ngo boodoo tatar kor, nye tatar trɛtraba kor, na ɔdze guu seradze no nye aserɛ nyimfa no do:", ""
"LEV.8.27", "na ɔdze ne nyinara hyɛɛ Aaron na ne mbabanyin no nsa, na ɔtowee yɛɛ ɔtow afɔr wɔ EWURADZE enyim.", ""
"LEV.8.28", "Na Moses gyee no wɔ hɔn nsamu, na ɔhyeew no wɔ afɔrmbukyia no do wɔ ɔhyew afɔr no do: dze yɛɛ etuhoakyɛ afɔr a oyi nka huanhuam: ɔyɛ ogya afɔr ma EWURADZE.", ""
"LEV.8.29", "Na Moses faa nyan no, na ɔtowee yɛɛ ɔtow afɔr wɔ EWURADZE enyim: ɔyɛ Moses ne kyɛfa wɔ etuhoakyɛ afɔr oguannyin no mu; dɛ mbrɛ EWURADZE hyɛɛ Moses no ara.", ""
"LEV.8.30", "Na Moses faa ɔserango no bi, nye afɔrmbukyia no do bɔgya no bi, na ɔdze petsee Aaron, nye ne ntar, nye ne mbabanyin, nye ne mbabanyin ntar do; dze yɛɛ Aaron nye ne ntar, nye ne mbabanyin, nye ne mbabanyin ntar no, krɔnkrɔn.", ""
"LEV.8.31", "Na Moses see Aaron, nye ne mbabanyin no dɛ, Hom nnoa nam no wɔ ehyiadzibuw no n’abowano: na hom ndzi no wɔ hɔ ara ɔnye etuhoakyɛ afɔr kɛntsɛn no mu boodoo no.", ""
"LEV.8.32", "Na nam no nye boodoo no mu dza ɔbɛka no hom mfa gya nhyew no.", ""
"LEV.8.33", "Na mma hom mmfi ehyiadzibuw no n’abowano nda esuon, kyerɛ hom etuhoakyɛ afɔr nda no aso ana: na nda esuon na ɔdze rutu hom akyɛ.", ""
"LEV.8.34", "Dɛ mbrɛ wɔayɛ no ndɛ da yi no, dɛmara na EWURADZE ahyɛ dɛ wɔnyɛ mfa mpata mma hom.", ""
"LEV.8.35", "Na hom ntsena ehyiadzibuw no n’abowano adzekyee nye adzesaa nda esuon, na hom nhwɛ EWURADZE ahwɛdze no, amma hom eennwuwu: na dɛm na wɔdze ahyɛ me mbra.", ""
"LEV.8.36", "Na Aaron nye ne mbabanyin no yɛɛ ndzɛmba a EWURADZE nam Moses nsa do hyɛe no nyinara.", ""
