"LEV.13.1", "Na EWURADZE kasaa kyerɛɛ Moses nye Aaron dɛ,", ""
"LEV.13.30", "ɔno ɔsɔfo no nhwɛ ntsetsewee no: na, hwɛ, sɛ n'enyi atotɔ mu asen wer no, na nhwi memen tseatseaba bi wɔ mu a, ɔno ɔsɔfo no nka dɛ no ho nntsew: ɔyɛ ntutui, ɔyɛ tsir anaa abɔdwesa mu kwata.", ""
"LEV.13.31", "Na sɛ ɔsɔfo no hwɛ ntutui ne ntsetsewee no, na, hwɛ, n'enyi nntotɔ mu nnsen wer no, na nhwi tuntum bi nnyi mu a, ɔno ɔsɔfo no ntow ntutui ɔyarfo no mu nda esuon:", ""
"LEV.13.32", "na da a otsia esuon no ɔsɔfo no nhwɛ ntsetsewee no; na, hwɛ, sɛ ntutui no nntserɛwee, na nhwi memen bi nnyi mu, na ntutui no n'enyim nntotɔ mu nnsen wer no a,", ""
"LEV.13.33", "ɔno wɔntwerɛw nhwi no, mbom ntutui no na mma wɔnntwerɛw; na ɔsɔfo no ntow nyia ɔyar ntutui no mu nda esuon bio:", ""
"LEV.13.34", "na da a otsia esuon no mu ɔsɔfo no nhwɛ ntutui no: na, hwɛ, sɛ ntutui no nntserɛw wer no do, na n'enyi nntotɔ mu nnsen wer no a; ɔno ɔsɔfo no nka dɛ no ho tsew: na ɔnhor ne ntar, na no ho ntsew.", ""
"LEV.13.35", "Mbom n'ahotsewee ekyir no sɛ ntutui no tserɛw wɔ wer no mu a;", ""
"LEV.13.36", "ɔno ɔsɔfo no nhwɛ no; na, hwɛ, sɛ ntutui no atserɛw wɔ wer no mu a, mma ɔsɔfo no nnhwehwɛ nhwi memen no; no ho nntsew.", ""
"LEV.13.37", "Mbom sɛ ntutui no yɛ n'enyiwa do dɛ oesianka, na nhwi tuntum efuw wɔ mu a; ntutui no asa, no ho atsew: na ɔsɔfo no nka dɛ no ho atsew.", ""
"LEV.13.38", "Na sɛ ɔbanyin anaa ɔbaa nya ntokowa ntokowa fitaa wɔ no honam wer mu a;", ""
"LEV.13.39", "ɔno ɔsɔfo no nhwɛ: na, hwɛ, sɛ ntokowa ntokowa a n'enyi dum fitaa na ɔwɔ hɔn honam wer mu a; ɔyɛ ayam na oepue wɔ wer no mu; no ho tsew.", ""
"LEV.13.40", "Na sɛ ɔbanyin bi no nhwi pepa wɔ n'etsifi a, ɔyɛ otsipaa; naaso no ho tsew.", ""
"LEV.13.41", "Na sɛ no nhwi pepa wɔ n'etsifi enyim afamu a, ɔyɛ pampamu tsipaa; na no ho tsew.", ""
"LEV.13.42", "Mbom sɛ ntsetsewee ɔberhoamu bi tow ne tsipaa no mu, anaa ne pampamu paa no mu a; ɔyɛ kwata a orupue ne tsipaa, anaa ne pampamu paa no mu.", ""
"LEV.13.43", "Nkyii ɔsɔfo no nhwɛ no: na sɛ ntsetsewee no soaa no yɛ ɔberhoamu wɔ ne tsipaa no mu, anaa ne pampamu paa no mu, dɛ mbrɛ kwata firii tse wɔ honam wer no mu a;", ""
"LEV.13.44", "ɔyɛ ɔkwatanyi, no ho nntsew: ka ara na ɔsɔfo no nka dɛ no ho nntsew; ne ntsetsewee wɔ n'etsifi.", ""
"LEV.13.45", "Na ɔkwatanyi a ɔyar no wɔ no ho no, nsuansuan ne ntar mu, na ɔmbɔ ne tsinhwi mpɛsɛw, na ɔnkata n'anofamfa sor no, na ɔntsea mu dɛ, Ɔho nntsew o, ɔho nntsew o.", ""
"LEV.13.46", "Nda dodow a yar no wɔ no ho no nyinara no ho renntsew; no ho nntsew: noara nkotoo ntsena; nseraban no ekyir na ɔnyɛ ne tsenabew.", ""
"LEV.13.47", "Atar so a kwata ntsetsewee wɔ mu no, sɛ ɔyɛ kuntu atar o, ndwera atar o;", ""
"LEV.13.48", "sɛ ndwera, anaa kuntu, ne nsa anaa ne mfa mu o; sɛ nwoma, anaa adze biara a wɔdze nwoma ayɛ mu o;", ""
"LEV.13.49", "sɛ ntsetsewee no yɛ ebunebun anaa ɔberber wɔ atar no mu, anaa nwoma no mu, anaa nsa no mu, anaa mfa no mu, anaa nwoma adze biara mu a; ɔyɛ kwata ntsetsewee, na wɔmfa nkɛkyerɛ ɔsɔfo no:", ""
"LEV.13.50", "na ɔsɔfo no nhwɛ ntsetsewee no, na ɔntow ntsetsewee adze no mu nda esuon:", ""
"LEV.13.51", "na da a otsia esuon no ɔnhwɛ ntsetsewee no: sɛ ntsetsewee no atserɛw wɔ atar no mu, anaa nsa no mu, anaa mfa no mu, anaa nwoma no mu, anaa biribiara a wɔdze nwoma ayɛ no mu a; ntsetsewee no yɛ kwata a ɔwewe; no ho nntsew.", ""
"LEV.13.52", "Na ɔnhyew atar no, sɛ nsa no o, mfa no o, wɔ kuntu mu, anaa ndwera mu, anaa nwoma adze biara a ntsetsewee no wɔ mu no: na ɔyɛ kwata a ɔwewe; wɔnhyew no wɔ gya mu.", ""
"LEV.13.53", "Na sɛ ɔsɔfo no hwɛ, na, hwɛ, ntsetsewee no nntserɛw wɔ atar no mu, wɔ nsa no mu, anaa mfa no mu, anaa nwoma adze biara mu a;", ""
"LEV.13.54", "ɔno ɔsɔfo no nhyɛ ma wɔnhor adze no a ntsetsewee no wɔ mu no, na ɔntow no mu nda esuon bio:", ""
"LEV.13.55", "na ɔahor ntsetsewee no ekyir no, ɔsɔfo no nhwɛ: na sɛ ntsetsewee no nnsakyeer n'enyi, na ntsetsewee no nntserɛwee a, no ho nntsew; dza atow mu no wɔ mu o, ekyir o hyew no wɔ ogya mu: osiandɛ ɔyɛ nwewee.", ""
"LEV.13.56", "Na sɛ ɔsɔfo no hwɛ, na, hwɛ, ntsetsewee no no hor ekyir no n'enyi edum a, ɔno ɔntsew mfi atar no ho, anaa nwoma no ho, anaa nsa no ho, anaa mfa no ho:", ""
"LEV.13.57", "Na sɛ ɔda ho pue wɔ atar no mu, anaa nsa no mu, anaa mfa no mu, anaa nwoma adze biara no mu a, na orupue: fa gya hyew dza ntsetsewee no wɔ mu no.", ""
"LEV.13.58", "Na atar no, anaa nsa no, anaa mfa no, anaa nwoma adze biara a ebɔhor no, sɛ ntsetsewee no fi mu a, ɔno wɔnhor bio, na no ho atsew.", ""
"LEV.13.59", "Iyi nye mbra a ɔwɔ hɔ ma kwata ntsetsewee wɔ kuntu anaa ndwera atar ho, wɔ nsa anaa mfa, anaa nwoma adze biara mu, ma wɔdze aaka dɛ no ho tsew, anaa wɔdze aaka dɛ no ho nntsew.", ""
