"LUK.9.1", "Na ɔfrɛɛ duebien no boaa ano, na ɔmaa hɔn ahoɔdzen nye tum wɔ mbɔnsam nyina na ayarsa do.", ""
"LUK.9.35", "Na ndze fi mununkum no mu baa dɛ, Oyi nye me Ba, nyia masan mu meyi no: hom ntsie no.", ""
"LUK.9.36", "Na ndze no twaa mu no, nna aka Jesus nko wɔ hɔ. Na womuamuaa do, na nda no mu no wɔannka ndzɛmba a wohunii no ho asɛm biara annkyerɛ obiara.", ""
"LUK.9.37", "Na ɔbaa dɛ n'adzekyee a wofi kokwaa no do baa famu no, nyimpadodow pii behyiaa no.", ""
"LUK.9.38", "Hɔ no ara, obi fi nyimpadodow no mu tseaa mu dɛ, Kyerɛkyerɛfo, meserɛ wo, hwɛ me ba yi: na me ba kor ara nye no;", ""
"LUK.9.39", "na sunsum bi kyer no, na ɔka mu awerɛfir mu, na ɔtsetsew no ma n'ano twa ehur, na ɔposa no araa ma ɔyɛ dzen ana oegyaa no.", ""
"LUK.9.40", "Na meserɛɛ w'esuafo no dɛ wontu no, naaso woenntum.", ""
"LUK.9.41", "Na Jesus buae see dɛ,  Ao ɔsantsen a hom nnyi gyedzi na hom akyea, menye hom ntsena na minsie hom ho abotar nkodu dabɛn? Fa wo ba no bra ha.", ""
"LUK.9.42", "Na ɔreba no, sunsum fi no twaa no hwee famu, na ɔtsetseew no, na Jesus bɔɔ sunsum fi no ham, na ɔsaa abofra no yarba, na ɔdze no maa n'egya.", ""
"LUK.9.43", "Na hɔn nyina ho boow hɔn, wɔ Nyankopɔn no tumdzi kɛse no ntsi. Na ber a obiara no ho abow no wɔ ndzɛmba a Jesus yɛe nyina ho no, ɔsee n'esuafo no dɛ,", ""
"LUK.9.44", "Hom mma nsɛm yi nkɔ hom asomu: na nyimpa Ba no, woribeyi no ahyɛ nyimpa nsa.", ""
"LUK.9.45", "Na wɔanntse asɛm yi ase, na ohuntaa hɔn amma woeennhu, na wosuroo dɛ wobebisa no asɛm yi ho biribi.", ""
"LUK.9.46", "Na atsɛnyiyi baa hɔn mu dɛ hɔn mu woana na ɔyɛ kɛse.", "#Luk 22.24"
"LUK.9.47", "Na Jesus hun hɔn akoma mu adwen no, ɔfaa abofraba bi gyinaa ne nkyɛn,", ""
"LUK.9.48", "na ɔsee hɔn dɛ,  Obiara a ɔbɛgye abofraba yi wɔ me dzin mu no, ɔgye emi mara; na obiara a ɔgye me no, ɔgye nyia ɔsomaa me no: na nyia ɔyɛ ekumaba wɔ hom nyina mu no, ɔno na ɔyɛ kɛse.", "#Mat 10.40; Luk 10.16; Joh 13.20"
"LUK.9.49", "Na John buae see dɛ, Hɛn wura, yehun obi dɛ ɔdze wo dzin rutu esunsum fi, na yesiiw no kwan, osiandɛ ɔnnka hɛn ho.", ""
"LUK.9.50", "Na Jesus see no dɛ,  Mma hom nnsiw no kwan: na nyia onntsia hom no, ɔwɔ hom afa.", ""
