"LUK.22.1", "Na epitsi afahyɛ no a wɔfrɛ no Apaho no bɛnee.", "#Eks 12.1-27"
"LUK.22.41", "Na ɔtwee noho fii hɔn nkyɛn bɛyɛ dɛ ɔbotowee na ɔkɔkotoow ne ntwɛr enyim sɔɔr dɛ,", ""
"LUK.22.42", "Egya, sɛ epɛ a, yi kɔɔpow yi pa mo ho; naaso nnyɛ emi me pɛ a, na wodze na ɔnyɛ hɔ.", ""
"LUK.22.43", "Na ɔbɔfo bi fi sor beyii noho kyerɛɛ no hyɛɛ no dzen.", ""
"LUK.22.44", "Na owuyaw mu no, ɔbɔɔ mpaa enyiberdo, na ne fifir yɛɛ dɛ bɔgya atɔwatɔw a ɔsosɔ famu.", ""
"LUK.22.45", "Na ɔsoɛree fii n'asɔryɛ mu no, ɔbaa n'esuafo no nkyɛn na obohun hɔn dɛ awerɛhow ntsi wɔadeda.", ""
"LUK.22.46", "Na ɔsee hɔn dɛ,  Ɔyɛ dɛn na hom ada yi? Hom nsoɛr nsɔr mma hom aannkɔ nsɔhwɛ mu.", ""
"LUK.22.47", "Na ɔda do rekasa no, hwɛ, nyimpadodow nye nyia wɔfrɛ no Judas a ɔyɛ duebien no mu baako dzi hɔn enyim na ɔtwee bɛɛn Jesus dɛ ɔrebɛfew n'ano.", ""
"LUK.22.48", "Na Jesus see no dɛ,  Judas, edze mfewano riyi nyimpa Ba no ama anaa?", ""
"LUK.22.49", "Na hɔn a wɔwɔ ne nkyɛn no hun dza ɔreba no, wɔsee dɛ, Ewuradze, yɛmfa afona mbobɔ hɔn anaa?", ""
"LUK.22.50", "Na hɔn mu baako bɔɔ ɔsɔfopanyin n'akowaa, na otwaa n'asowa nyimfa.", ""
"LUK.22.51", "Na Jesus buae see dɛ,  Hom mma ɔmpa ha ara; na ɔdze ne nsa kaa asowa no famee.", ""
"LUK.22.52", "Na Jesus see asɔfompanyin nye asɔrfi mu asafohen, nye mpanyimfo a wɔbaa no do no dɛ,  Ana hom puei baa mo do dɛ owifo do, na hom dze mfona nye mpɔtsibaa yi?", ""
"LUK.22.53", "Mowɔ hom nkyɛn wɔ asɔrfi mu hɔ daa no, hom anntsen hom nsa annka me: na iyi nye hom ber, na sum mu tum.", "#Luk 19.47; 21.37"
"LUK.22.54", "Na wɔfaa no kɔree, na wɔdze no baa ɔsɔfopanyin no fie. Na Peter dzii n'ekyir wɔ ekyirekyir.", ""
"LUK.22.55", "Na wokuaa gya wɔ abangua no finimfin na wɔtsenaa ho no, Peter bɛtsenaa hɔn mu.", ""
"LUK.22.56", "Na ɔtse gya no ho no, abaawa bi hun no, na ɔhwɛɛ no komm, na ɔsee dɛ, Oyi so nye no nam.", ""
"LUK.22.57", "Na Peter saan dɛ, Ɔbaa, minnyim no.", ""
"LUK.22.58", "Na ɔkyɛɛr kakra no obi so hun no, na ɔsee dɛ, Wo so fi hɔn mu. Na Peter see dɛ, Onua, mimmfi mu.", ""
"LUK.22.59", "Na n'ekyir bɛyɛ dɔnhwer kor na obi so kaa gyinaa do dɛ, Ɔyɛ ampa, oyi so nye no nam: na ɔyɛ Galiliinyi.", ""
"LUK.22.60", "Na Peter see dɛ, Onua, minnyim dza ereka yi. Na amonmu hɔ ara a ɔda do rekasa no, na akokɔ bɔnee.", ""
"LUK.22.61", "Na Ewuradze daan noho hwɛɛ Peter. Na Peter kaa asɛm a Ewuradze kae no, mbrɛ ɔsee no dɛ,  Ansaana akokɔ bɔbɔn ndɛ, ebɛpa me mprɛnsa.", ""
"LUK.22.62", "Na opuei, na okosuu yayaayaw.", ""
"LUK.22.63", "Na mbanyin a wɔdze Jesus mu no, sii no atwetwe bobɔɔ no.", ""
"LUK.22.64", "Na wɔkataa n'enyiwa, na wobisaa no dɛ, Hyɛ nkɔm! Woana na ɔbɔɔ wo?", ""
"LUK.22.65", "Na ebususɛm pii keka ho a wɔkae tsiaa no.", ""
"LUK.22.66", "Na adze kyee no, ɔman mpanyimfo nye asɔfompanyin nye kyerɛwfo no behyiae, na wɔdze no kɔr hɔn asɛndzii, dɛ,", ""
"LUK.22.67", "Sɛ ɔwo nye Kraest no a, ka kyerɛ hɛn. Na ɔsee hɔn dɛ,  Sɛ meka kyerɛ hom a, hom renngye nndzi;", ""
"LUK.22.68", "na mo so mibisa hom a, hom rummbua bi.", ""
"LUK.22.69", "Na daakye nyimpa Ba no bɛtsena Nyankopɔn n'ahoɔdzen nyimfa.", ""
"LUK.22.70", "Na hɔn nyina see dɛ, Nna kyerɛ dɛ, ɔwo nye Nyankopɔn Ba no a? Na ɔsee hɔn dɛ,  Hom na hom ka dɛ emi nye no.", ""
"LUK.22.71", "Na wɔsee dɛ, Ebɛn dase na ohia ma hɛn bio? Osiandɛ hɛnankasa yɛatse wɔ n'anomu.", ""
