"GEN.24.32", "Na banyin no baa fie no mu, na Laban yiyii efumpɔnkɔ no hɔn do ndzɛmba; na ɔmaa hɔn edziban, na ɔmaa nsu dɛ banyin no nye hɔn a wɔka no ho no dze ahohor hɔn anan ho.", ""
"GEN.24.33", "Na wɔdze edziban besii n’enyim dɛ ondzi: na ɔsee dɛ, Minnkedzi, gyedɛ mabɔ m’amandzɛɛ ana. Na ɔsee dɛ, Bɔ ɛ.", ""
"GEN.24.34", "Na ɔsee dɛ, Meyɛ Abraham no somfo.", ""
"GEN.24.35", "Na EWURADZE ehyira mo wura kɛsenara; na ɔayɛ kɛse: na ɔama no nguan nye anantwi, na dwetɛ nye sika, na nkowaa nye mfonabaa, na efumpɔnkɔ nye nsoasopɔnkɔ.", ""
"GEN.24.36", "Na aber a mo wura ne yer yɛɛ aberwa no, nna ɔwoo babanyin maa mo wura: na ɔno na ɔdze dza ɔwɔ nyinara ama no.", ""
"GEN.24.37", "Na mo wura maa midzii nsew dɛ, Mma nngye yer wɔ Kanaanfo a metse hɔn asaase do yi hɔn mbabaa mu mma me ba.", ""
"GEN.24.38", "Kɔ m’egya fie, nye m’ebusua mu, na kɛgye yer ma me ba.", ""
"GEN.24.39", "Na mesee mo wura dɛ, Bi a ɔbaa no nnkɛka mo do.", ""
"GEN.24.40", "Na ɔsee me dɛ, EWURADZE a menam n’enyim no, ɔbɔsoma no bɔfoe ma ɔaabɛka wo ho, na ɔama wo kwan do ayɛ dwudwoodwo; na ebɛgye yer wɔ m’ebusua mu, nye m’egya fie ama me ba.", ""
"GEN.24.41", "Sɛ ekɔ m’ebusua mu na sɛ wɔammfa no amma wo a, ɔnodze na wo ho efi me ntam mu.", ""
"GEN.24.42", "Na mebaa bura no do ndɛ, na mesee dɛ, EWURADZE, mo wura Abraham ne Nyankopɔn, sɛ afei erema mo kwan a morokɔ yi ayɛ dwudwoodwo a:", ""
"GEN.24.43", "hwɛ migyina nsubura yi ho; na ma ɔmbra dɛ akataasia a obopue abɛsaw bi a mebɛse no dɛ, Meserɛ wo, ma me w’ehina mu nsu kakra ma monnom;", ""
"GEN.24.44", "na ɔbɛse me dɛ, ɔwoara nom bi, na mebɛsaw bi ama w’efumpɔnkɔ so no: ɔnoara na ma ɔnyɛ ɔbaa a EWURADZE eyi no ama mo wura ne ba.", ""
"GEN.24.45", "Na ansaana murubowie kasa wɔ m’akoma mu no, hwɛ, Rebeka puei na n’ehina si no kɔn ho; na osianee kɔr bura no mu, na ɔkɛsawee: na mesee no dɛ, Meserɛ wo, ma monnom bi.", ""
