"JHN.4.1", "Afei Jesus  hun dɛ Farisiifo no atse dɛ ɔno Jesus rinya esuafo pii na orunuma nyimpa sen John no", "#4.1 Tsetse akyerɛwfo no binom ka dɛ: Ewuradze."
"JHN.4.40", "Dɛm ntsi Samariafo baa ne nkyɛn no, wɔserɛɛ no dɛ ɔnye hɔn ntsena. Na ɔtsenaa hɔ nda ebien.", ""
"JHN.4.41", "Na nyimpa dodow a ɔkyɛn nkan no gyee no dzii wɔ n’asɛm ntsi,", ""
"JHN.4.42", "na wɔsee ɔbaa no dɛ, Afei nnyɛ w’asɛm ntsi na yɛgye dzi, na hɛnankasa so yɛatse na yenyim dɛ oyi nye wiadze Agyenkwa no.", ""
"JHN.4.43", "Na nda ebien twaa mu no, ofii hɔ sii mu kɔr Galilii.", ""
"JHN.4.44", "Na Jesus noara gyee dase dɛ nkɔnhyɛnyi nnyi enyidzi wɔ nankasa no kurow mu.", "#Mat 13.57; Mar 6.4; Luk 4.24"
"JHN.4.45", "Na odur Galilii no, Galiliifo gyee no too mu, osiandɛ wohun dza ɔyɛe wɔ Jerusalɛm wɔ afahyɛ no ase nyina; osiandɛ hɔn so kɔr afahyɛ no ase bi.", "#Joh 2.23"
"JHN.4.46", "Na Jesus baa Kaana a ɔwɔ Galilii mbrɛ ɔdaan nsu wenyin no bio. Na ahenkowaa panyin bi wɔ hɔ a ne ba yar wɔ Karpernaum.", "#Joh 2.1-11"
"JHN.4.47", "Na ɔtsee dɛ Jesus fi Judea aba Galilii no, ɔkɔr ne nkyɛn kɛserɛɛ no dɛ ɔmbra mbɛsa ne ba no yarba, na ɔreyɛ ewu.", ""
"JHN.4.48", "Na Jesus see no dɛ,  Sɛ hom ennhu nsɛnkyerɛdze nye anwanwadze a, hom nnkɛgye edzi da.", ""
"JHN.4.49", "Ɔpanyin no see no dɛ, Mo wura, Sian bra ansaana me ba no ewu.", ""
"JHN.4.50", "Jesus kaa kyerɛɛ no dɛ,  Kɔ, wo ba no atse apɔw.  Na nyimpa no gyee asɛm a Jesus kaa kyerɛɛ no no dzii, na ɔkɔree.", ""
"JHN.4.51", "Na ɔresan akɔ no, no nkowaa behyiaa no kaa dɛ ne ba no atse apɔw.", ""
"JHN.4.52", "Na obisaa hɔn dɔn kor a no ho hyɛɛ ase yɛɛ no dzen; na wɔsee no dɛ, Ndeda ewiaber dɔnkor no mu na papu no gyaae.", ""
"JHN.4.53", "Na egya no hun dɛ dɔn no ara a Jesus see no dɛ, Wo ba no atse apɔw no mu a, na ɔgyee dzii, ɔno nye ne fifo nyina.", ""
"JHN.4.54", "Iyi so nye asɛnkyerɛdze a otsia ebien a Jesus fi Judea baa Galilii no ɔyɛe.", ""
