"JHN.19.1", "Na afei Pilate faa Jesus na ɔkaa no mpire.", ""
"JHN.19.33", "Na wodur Jesus do na wohun dɛ oewu dada no, woemmbubu n'anan mu;", ""
"JHN.19.34", "na nsordaafo no baako dze peaa wɔɔ ne mfemu, na ntsɛmara na bɔgya nye nsu fii mu bae.", ""
"JHN.19.35", "Na nyia oehu no oedzi dase, na ne dasee yɛ nokwar, na ɔno so nyim dɛ ɔka nokwar, na hom so aagye edzi.", ""
"JHN.19.36", "Na wɔyɛɛ iyinom ma kyerɛw no aaba mu dɛ, Wonnkobu ne biew bi.", "#Eks 12.46; Nka 9.12; Dwom 34.20"
"JHN.19.37", "Na bio kyerɛw fofor so se, Wɔbɔhwɛ nyia wɔwɔɔ no (peaa) no.", "#Zek 12.10; Nyi 1.7"
"JHN.19.38", "Na iyi ekyir no na Josef a ofi Arimatea a ɔyɛ Jesus no suanyi, na Jewfo ho hu ntsi ɔyɛɛ no nsumaa mu no, bɛserɛɛ Pilate dɛ ɔmma onyi Jesus no fun no, na Pilate maa no ho kwan; na ɔbae bɛfaa Jesus no fun no.", ""
"JHN.19.39", "Na Nikodemɔs so a nkan no ɔbaa Jesus hɔ anadwe no, dze eduhuam a wɔfrɛ no mɛɛr nye alɔe mforaforae bɛyɛ nkeriibo pɔɔn ɔha bae.", "#Joh 3.1, 2"
"JHN.19.40", "Na wɔfaa Jesus no fun na wɔdze nduhuam no kaa no ho kyekyeer ndwera mu, dɛ mbrɛ Jewfo efunsie tse.", ""
"JHN.19.41", "Na eso mbrɛ wɔbɔɔ no mbeamudua mu no, ture wɔ hɔ, na ture no mu ɔboda bi wɔ hɔ a wɔmmfaa obiara nntoo mu da.", ""
"JHN.19.42", "Na hɔ na Jewfo Ahosiesieda ntsi, na osiandɛ nda no bɛn so ntsi, wɔdze Jesus toe.", ""
