"JHN.11.1", "Nna ɔyarfo bi wɔ hɔ a wɔfrɛ no Lazarus a ofi Bɛtani, Mary nye no nuabaa Martha hɔn kurow mu.", "#Luk 10.38, 39"
"JHN.11.44", "Nyia owui no puei bae: nna nda mu atam kyekyer ne nan nye ne nsa, na duukuu kyekyer n’enyim: na Jesus see hɔn dɛ,  Hom nsan no, na hom mma ɔnkɔ.", ""
"JHN.11.45", "Na Jewfo no mu pii a wɔbaa Mary nkyɛn na wohun dza Jesus yɛe no, wɔgyee no dzii;", ""
"JHN.11.46", "na hɔn mu binom sii mu kɔr Farisiifo nkyɛn kɛkaa dza Jesus yɛe no kyerɛɛ hɔn.", ""
"JHN.11.47", "Na asɔfompanyin nye kyerɛwfo no maa wokehyiaa baguafo no, na wɔsee dɛ, Yɛreyɛ dɛn, na nyimpa yi reyɛ nsɛnkyerɛdze pii yi?", ""
"JHN.11.48", "Sɛ yegyaa no dɛm a, nyimpa nyina bɛgye no edzi, na Romefo afa hɛn bea nye hɛn man yi.", ""
"JHN.11.49", "Na hɔn mu baako bi, Kaiafas a odzi afe noara mu sɔfopanyin, see hɔn dɛ, Hom nnyim hwee,", ""
"JHN.11.50", "na eso hom nndwen dɛ oye ma hɛn dɛ nyimpa kor bowu ama ɔman no, na ɔman no nyina aannhyew a.", ""
"JHN.11.51", "Na iyi, nnyɛ nankasa na ɔkae, na odzi afe noara mu sɔfopanyin ntsi, ɔhyɛɛ nkɔm dɛ Jesus rubowu ama ɔman no,", ""
"JHN.11.52", "na nnyɛ ɔman no nko ntsi, na dɛ ɔrebɛka Nyankopɔn mba a wɔapetse nyina so abɔ mu ayɛ kor.", ""
"JHN.11.53", "Na ofitsi da no ara wɔfaa apam dɛ woboku no.", ""
"JHN.11.54", "Dɛm ntsi Jesus annantsew petee wɔ Jewfo no mu bio; na ofii hɔ kɔr asaase a ɔbɛn sar no ho no do, wɔ kurow a wɔfrɛ no Efraim mu, na ɔnye n’esuafo kɛtsenaa hɔ.", ""
"JHN.11.55", "Na Jewfo apaho no abɛn, na dodowara fiir asaase no do kɔr Jerusalɛm ansaana apaho no edu dɛ worukoguar hɔnho.", ""
"JHN.11.56", "Na wɔhwehwɛɛ Jesus, na wogyinaa asɔrfi no mu sesee hɔnho dɛ, Hom dwen dɛn? Ɔremmba afahyɛ yi ase anaa?", ""
"JHN.11.57", "Nna asɔfompanyin no nye Farisiifo no ahyɛ mbra dɛ, obi nyim mbrɛ ɔwɔ a, ɔnkɛkyerɛ ma wɔnkyer no.", ""
