"JHN.6.1", "Iyi ekyir no, Jesus sii mu kɔr Galilii po a ɔyɛ Tiberias po no egya.", ""
"JHN.6.40", "Na iyi nye m'Egya ne pɛ, dɛ obiara a ɔhwɛ Ba no na ɔgye no dzi no, onnya onnyiewiei nkwa, na mebɛma no do wɔ da a odzi ekyir no mu.", ""
"JHN.6.41", "Nna Jewfo no hwinhwinii wɔ no ho dɛ ɔkaa dɛ, Emi nye paanoo a ofi sor sianee bae no,", ""
"JHN.6.42", "na wɔsee dɛ, Ana nnyɛ oyi nye Jesus, Josef ne ba a yenyim n'egya nye ne na no? Na ɔyɛ dɛn na afei ɔse dɛ, Mesian efi sor aba yi?", ""
"JHN.6.43", "Jesus buae na ɔsee hɔn dɛ,  Mma hom nnhwinhwin hom mu.", ""
"JHN.6.44", "Obiara nntum mmba mo hɔ, gyedɛ Egya no a ɔsomaa me no twe no, na mebɛma no do wɔ da a odzi ekyir no mu.", ""
"JHN.6.45", "Wɔakyerɛw wɔ Nkɔnhyɛfo no mu dɛ, Na hɔn nyina Nyankopɔn bɛkyerɛkyerɛ hɔn. Obiara a ɔatse wɔ Egya no nkyɛn na oesua no, ɔba mo hɔ.", "#Isa 54.13"
"JHN.6.46", "Nnyɛ dɛ obiara ehu Egya no, gyedɛ nyia ofi Nyankopɔn nkyɛn no, ɔno na oehu Egya no.", ""
"JHN.6.47", "Nokwar nye iyi, mese hom dɛ, nyia ɔgye dzi no wɔ onnyiewiei nkwa.", ""
"JHN.6.48", "Emi nye nkwa paanoo no.", ""
"JHN.6.49", "Hom egyanom dzii manna no wɔ sar no do na wowuwui;", ""
"JHN.6.50", "iyi nye paanoo a ofi sor sian ba no, ama nyimpa eedzi bi na oeennwu.", ""
"JHN.6.51", "Emi nye paanoo tseasenyi a ofi sor sianee bae no; sɛ obi dzi paanoo yi bi a, ɔbɛtsena ase daa; na ampaara paanoo a medze bɛma nye mo honam wɔ wiadze nkwa ntsi.", ""
"JHN.6.52", "Na Jewfo no bisabisaa hɔn ho dɛ, Ɔbɛyɛ dɛn na dɛm nyimpa yi botum dze no honam ama hɛn ma yeedzi?", ""
"JHN.6.53", "Jesus see hɔn dɛ,  Meka no nokwar mu kyerɛ hom dɛ, sɛ hom enndzi nyimpa Ba no honam na hom annom no bɔgyaa a, hom nnyi nkwa wɔ hom mu.", ""
"JHN.6.54", "Nyia odzi mo honam na ɔnom mo bɔgyaa no, ɔwɔ onnyiewiei nkwa, na da a odzi ekyir no mu mebɛma no do.", ""
"JHN.6.55", "Na mo honam yɛ edziban ampa, na mo bɔgyaa yɛ anondze ampa.", ""
"JHN.6.56", "Nyia odzi mo honam na ɔnom mo bɔgyaa no na ɔtse mo mu, na mo so metse no mu.", ""
