"EST.10.1", "Na ɔhen Ahasuerus dze asaasetow too asaase no na po mu nsupɔw no do.", ""
"EST.10.2", "Na no tum na ne mbanyindze ho asɛm nyinara, na Modekai n’akɛseyɛ a ɔhen no maa ɔyɛe no no ho asɛm no, ana wɔnnkyerɛɛw no wɔ Media na Persia ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"EST.10.3", "Osiandɛ Jewnyi Modekai no nye nyia otsia ebien a odzi ɔhen Ahasuerus n’ekyir, na ɔyɛ nyimpa kɛse wɔ Jewfo mu, na no nuanom nyimpadodow no penee no; ɔhwehwɛɛ ne man ne yieyɛ, na ɔkaa asomdwee nsɛm kyerɛɛ n’asefo nyinara.", ""
