"PSA.133.1", "Hwɛ, mbrɛ odua ye na ɔyɛ fɛw Ma enuanom dɛ wɔbɔbɔ mu atsena koryɛ mu!", ""
"PSA.133.2", "Ɔtse dɛ aboɔdzen ngo a Wohuei guu Aaron n’apampamu, Osianee guu n’abɔdwesa mu; Na ɔsɔnee boguu n’atar no mbuano no do;", ""
"PSA.133.3", "Ɔtse dɛ Hermon ɔbɔsu a Osian bogu Zion mbepɔw do: Na hɔ na EWURADZE hyɛɛ nhyira no, Nyew, nkwa daapem no.", ""
