"PSA.117.1", "Amanaman nyinara, hom nyi EWURADZE ayɛw; Amanaman nyinara, hom ntonton no.", ""
"PSA.117.2", "Na no mbɔbɔrhu dɔɔ so wɔ hɛn do; Na EWURADZE no nokwar tsim hɔ daa. Hom nyi EWURADZE ayɛw.", ""
