"MAT.27.39", "Na hɔn a worutwa mu no dzii no nsɛmbɔn, na wɔwosowosoow hɔn tsir", "#Dwom 22.7; 109.25"
"MAT.27.40", "see dɛ, Ɔwo a idwuruw asɔrdan no na isi no ndaansa, gye woho; sɛ eyɛ Nyankopɔn Ba no a, fi mbeamudua ho si famu ɛ!", "#Mat 26.61; Joh 2.19"
"MAT.27.41", "Dɛmara so na asɔfompanyin no nye kyerɛwfo nye mpanyimfo no sii no atwetwe see dɛ,", ""
"MAT.27.42", "Oyi gyee binom: naaso onntum nngye nankasa noho. Ɔno nye Israel Hen no: wɔmma omfi mbeamudua no ho nsi famu, na yɛbɛgye no edzi.", ""
"MAT.27.43", "Nyew, ɔdze noho atwer Nyankopɔn: sɛ Nyankopɔn pɛ a, wɔmma ɔngye no, osiandɛ ɔnoara see dɛ, Nyankopɔn Ba nye me.", "#Dwom 22"
"MAT.27.44", "Dɛmara na edwotwafo no a wɔbɔɔ hɔn nye no mbeamudua mu no so yaaw no.", ""
"MAT.27.45", "Na ofi bɛyɛ ewiaber duebien ber no, sum hyɛɛ asaase nyina do kesii ndɔnebiasa ber no.", ""
"MAT.27.46", "Na bɛyɛ ndɔnebiasa no, Jesus dze ndze kɛse kaa mu dɛ,  Eli, Eli, lama sabaktani?  Ɔno nye dɛ,  Me Nyankopɔn, me Nyankopɔn, ɔyɛ dɛn na apa me yi?", "#Dwom 22.1"
"MAT.27.47", "Na hɔn a wogyinaa hɔ binom tsee no, wɔsee dɛ, Oyi refrɛ Elija.", ""
"MAT.27.48", "Na ntsɛmara hɔn mu baako tuu mbirika kɛfaa posaa dze kɔbɔɔ wenyin yerɛyerɛw mu, na ɔdze tuaa ndzɛmbir ano maa no dɛ ɔnnom.", "#Dwom 69.21"
"MAT.27.49", "Na nkaa no see dɛ, Gyaa ma yɛnhwɛ dɛ Elija bɛba abɛgye no anaa.", ""
"MAT.27.50", "Na Jesus dze ndze kɛse kaa mu bio no, ogyaa no sunsum mu.", ""
"MAT.27.51", "Na hwɛ, asɔrdan no mu ntwamutam no tseew ebien fi sor besii ase, na asaase wosowee, na abotan paapaae,", "#Eks 26.31-33"
"MAT.27.52", "na ahotseweefo a wɔadeda dodowara hɔn efun nyanyanee,", ""
"MAT.27.53", "na wofi nda no mu puepuei wɔ ne nyan no ekyir no, wɔkɔr kurow krɔnkrɔn no mu keyii hɔnho kyerɛɛ dodowara.", ""
"MAT.27.54", "Na ɔhamupanyin no nye hɔn a wɔka no ho roweɔn Jesus no hun asaasewosow no nye ndzɛmba a ɔyɛe no, wosuroo pii na wɔsee dɛ, Ampaara, Nyankopɔn Ba nye yi.", ""
"MAT.27.55", "Na mbaa dodowara wɔ hɔ a wogyinaa ekyir hwɛe, woyinom na wɔkaa Jesus do fiir Galilii na wɔsoom no;", "#Luk 8.2, 3"
"MAT.27.56", "na Mary Magdalene, nye James nye Joses hɔn na Mary, nye Zebedee mba no hɔn na ka hɔn ho.", ""
"MAT.27.57", "Na odur ewimbir no, ɔhonyanyi bi a ofi Arimatea a wɔfrɛ no Josef a noara so yɛ Jesus no suanyi bae;", ""
"MAT.27.58", "ɔno na ɔkɔr Pilate hɔ kɛserɛɛ Jesus no fun. Nna Pilate hyɛɛ dɛ wɔmfa mma no.", ""
"MAT.27.59", "Na Josef faa fun no dze bobɔɔw ndwera a n'enyi tsew mu,", ""
"MAT.27.60", "Na ɔdze too nankasa ne nda fofor a otwaa no ɔbotan mu no mu, na opireew ɔbo kɛse hiin nda no ano, na ɔkɔree.", ""
"MAT.27.61", "Nna Mary Magdalene nye Mary baako no so wɔ hɔ, na wɔtsenatsena nda no enyim.", ""
"MAT.27.62", "Na adze kyee a ɔyɛ da a odzi Ahosiesieda no ekyir no, asɔfompanyin nye Farisiifo no behyiae wɔ Pilate nkyɛn", ""
"MAT.27.63", "bɛsee dɛ, Hɛn wura, yɛkaa dɛ ɔdaadaafo no tse ase no, ɔkaa dɛ, Ndaansa ekyir mibenyan.", "#Mat 16.21; 17.23; 20.19; Mar 8.31; 9.31; 10.33, 34; Luk 9.22; 18.31-33"
"MAT.27.64", "Dɛm ntsi ka ma wɔnkɛhyɛ nda no nsew nkodu da a otsia ebiasa no, amma n'esuafo aammba emmbowia no, na wɔaannse ɔman no dɛ, Oenyan efi ewufo mu; ɔno ekyir nsɛmansɛma no bɛsen kan dze no koraa.", ""
"MAT.27.65", "Pilate see hɔn dɛ, Hom wɔ aweɔmfo: hom nkɔ nkɛhyɛ no nsew dɛ mbrɛ hom botum.", ""
"MAT.27.66", "Na wɔkɔree, na wɔkɛhyɛɛ nda no nsew: wɔsɔɔw ɔbo no ano, nna aweɔmfo no ka hɔn ho.", ""
