"MAT.26.40", "Na ɔbaa esuafo no nkyɛn, na obohun dɛ wɔdeda, na ɔsee Peter dɛ,  Aso hom enntum nye me annweɔn dɔnhwer kor mpo?", ""
"MAT.26.41", "Hom nweɔn na hom nsɔr, mma hom aannkɔ nsɔhwɛ mu: sunsum pɛ dze, na honam yɛ mberɛw.", ""
"MAT.26.42", "Bio, ɔkɔr ne mpɛn ebien kɔsɔɔr dɛ,  M’Egya, sɛ kɔɔpow yi nnkɛpa mo ho akɔ gyedɛ monom a, wo pɛ nyɛ hɔ.", ""
"MAT.26.43", "Na ɔbae no, obohun dɛ wɔadeda bio, osiandɛ hɔn enyiwa akom.", ""
"MAT.26.44", "Na ogyaa hɔn hɔ kɔr bio kɔsɔɔr ne mprɛnsa kaa asɛm kor no ara.", ""
"MAT.26.45", "Nna ɔbaa esuafo no nkyɛn, na ɔsee hɔn dɛ,  Na hom da ho da regye hom ahom? Hwɛ, dɔn no abɛn, na Nyimpa Ba no, woeyi no ahyɛ ndzebɔnyɛfo nsa.", ""
"MAT.26.46", "Hom nsoɛr ma yɛnkɔ: hwɛ, nyia oriyi me ama no abɛn.", ""
"MAT.26.47", "Na ɔda do rekasa no, hwɛ, Judas a ɔyɛ duebien no mu baako no, bae, na nyimpadodow pii a wɔdzedze nkrantsee nye mpɔtsibaa fi asɔfompanyin nye ɔman mu mpanyimfo no hɔ ka no ho.", ""
"MAT.26.48", "Na nyia oyii no mae no maa hɔn asɛnkyerɛdze dɛ, Nyia mebɛfew n’ano no, ɔno nye no: hom nkyer no.", ""
"MAT.26.49", "Na ntsɛmara ɔbaa Jesus nkyɛn na ɔsee dɛ, Kyerɛkyerɛfo, o! Na ɔfeew n’ano.", ""
"MAT.26.50", "Na Jesus see no dɛ,  Damfo, yɛ dza ɔnam do ma aba. Nna wɔbae dze hɔn nsa bosusuoo no mu, na wɔkyekyeer no.", ""
"MAT.26.51", "Na hwɛ, hɔn a wɔnye Jesus nam no mu baako tseen ne nsa twee ne nkrantsee, na ɔdze bɔɔ ɔsɔfopanyin no n’akowaa n’aso twae.", ""
"MAT.26.52", "Nna Jesus see no dɛ,  Fa wo nkrantsee hyɛ ne hyɛbea bio, na hɔn a wɔtwe nkrantsee nyina, nkrantsee anomu na wɔbɔtotɔr.", ""
"MAT.26.53", "Ana edwen dɛ murunntum mennserɛ m’Egya ma mprɛmprɛ ara ɔnnsoma abɔfo a wɔbɔbor asafokuw duebien?", ""
