"MAT.13.1", "Da no ara Jesus fiir fie kɛtsenaa mpoano.", ""
"MAT.13.38", "kwa no nye wiadze; aba pa no nye ahenman no ne mba; nwora no nye ɔbɔn no ne mba;", ""
"MAT.13.39", "ɔtamfo a oduaa hɔn nye abɔnsam; twaber nye wiadze n'ewiei; na etwafo no nye abɔfo no.", ""
"MAT.13.40", "Na dɛ mbrɛ wɔboaboa nwora no ano wɔhyew no wɔ gya mu no, mbrɛ ɔbɛyɛ wɔ wiadze n'ewiei nye no.", ""
"MAT.13.41", "Nyimpa Ba no bɔsoma n'abɔfoe na wɔakɔboaboa dza ɔto fintsidua nyina ano efi n'ahenman mu; nye hɔn a wɔyɛ emumuyɛ nyina,", ""
"MAT.13.42", "na wɔatow hɔn egu gya fononoo mu: hɔ na osu nye asetwɛr wɔ.", ""
"MAT.13.43", "Ɔno na atseneneefo bɛhyerɛn dɛ ewia wɔ hɔn Egya ahenman mu. Nyia ɔwɔ aso no, ma ontsie.", ""
"MAT.13.44", "Sor ahenman no tse dɛ akoradze a wɔdze sumaa haban mu a nyimpa hunii no, ɔdze huntsae, na no ho dɛw ntsi ɔkɔree kɔtɔɔn dza ɔwɔ nyina na ɔtɔɔ haban no.", ""
"MAT.13.45", "Bio, sor ahenman no tse dɛ batanyi a ɔrohwehwɛ ahondze pa;", ""
"MAT.13.46", "na ohun ahondze kor a no bo so no, ɔkɔree kɔtɔɔn dza ɔwɔ nyina na ɔkɔtɔe.", ""
"MAT.13.47", "Bio, sor ahenman no tse dɛ eboa a wɔtowee guu po mu a obumaa nam ahorow nyina bi;", ""
"MAT.13.48", "na ɔyɛɛ ma no, wotwuwii baa mpoano na wɔtsenaa famu, na wɔboaboaa papa no ano guu mbirefi mu, na wɔtoow dza omuo no gui.", ""
"MAT.13.49", "Mbrɛ ɔbɛyɛ wɔ wiadze ewiei nye no; abɔfo bɛba abɛpa nyimpa bɔn efi atseneneefo mu,", ""
"MAT.13.50", "na wɔatow hɔn egu ogya fononoo mu; hɔ na osu nye asetwɛr wɔ.", ""
"MAT.13.51", "Hom atse yinom nyina ase?  Wobuaa no dɛ, Nyew.", ""
"MAT.13.52", "Na ɔsee dɛ,  Dɛm ntsi kyerɛwnyi a wɔayɛ no osuanyi ama sor ahenman no ɔtse dɛ ofiwura a ofi n'adzekorabea yi ndzɛmba afofor nye adadaw pue.", ""
"MAT.13.53", "Na ɔbaa dɛ Jesus wiee mbɛ yi bu no, ofii hɔ kɔree.", ""
"MAT.13.54", "Na ɔkɔr nankasa no kurow mu no, ɔkyerɛkyerɛɛ hɔn wɔ hɔn nhyiamudan mu, ma hɔn ho boow hɔn na wɔsee dɛ, Oyi nyaa nyansa nye tum ndwuma yi wɔ hen?", ""
"MAT.13.55", "Ana nnyɛ dwimfo no ne ba nye yi? Ana ne na wɔmmfrɛ no Mary, na no nuanom nye James, Josef, Simon, nye Judas?", ""
"MAT.13.56", "Na nnyɛ ne nkyerɛbaa nyina na wɔnye hɛn wɔ ha yi? Na afei oyi nyaa ndzɛmba yinom nyina wɔ hen?", ""
"MAT.13.57", "Na ɔyɛɛ hɔn fintsidua. Na Jesus see hɔn dɛ,  Nkɔnhyɛnyi nnhwer enyidzi gyedɛ nankasa no kurow mu, nye nankasa ne fie.", ""
"MAT.13.58", "Na gyedzi a wonnyi ntsi ɔannyɛ tum ndwuma pii wɔ hɔ.", ""
