"1KI.7.1", "Solomon dze mfe duebiasa sii nankasa n’ahemfie no wiei.", ""
"1KI.7.31", "Na n’ano wɔ ntaadotsir no no mu na no do afamu yɛ anamɔn kor nye fa: na n’ano yɛ korkorba tse dɛ ngyinado dwuma bi, bɛyɛ anamɔn ebien nye fa: na wodzidzii n’ano so edwin, na ne nhyehyɛmu no yɛ etwaanan, ɔnnyɛ nkorkorba.", ""
"1KI.7.32", "Na ntwahonan anan no wowɔ nhyehyɛmu ntrɛtraba no ase; na ntwahonan no ne nhyɛmu ndua no hyehyɛ adaka no mu: na ntwahonan kor no krɔn yɛ anamɔn ebien nye fa.", ""
"1KI.7.33", "Na ntwahonan no ne nyɛbea tse dɛ tseaseanam ntwahonan nyɛbea: ne nhyɛmu ndua, no ho nsusuomudze, na ne hankra ano, na ne mparba, na ne finimfintu nyinara, wogui.", ""
"1KI.7.34", "Na nsusuomunsa anan wowɔ adaka kor no kutuw anan no ho: adaka no ara mu na no nsusuomunsa no wɔ.", ""
"1KI.7.35", "Na adaka no n’etsifi no wɔyɛɛ no korkorba a no krɔn yɛ bɛyɛ anamɔn kor hyia: na adaka no n’etsifi na ne nsa na ne nhyehyɛmu ntrɛtraba no a ofi kor no ara mu no wɔ.", ""
"1KI.7.36", "Na odzii ne nsa ne ntɛrba, na ne nhyehyɛmu ntrɛtraba no do edwin, kerubfo ngyata na mbɛdua, dɛ mbrɛ kor ne ntamu tse, nye ahaban nkyekyeree bɔ aprɔw.", ""
"1KI.7.37", "Ndaka du no mbrɛ ɔyɛe no nye yi: ne nyinara wɔ gubea kor, nsusui kor, na isu kor.", ""
"1KI.7.38", "Na ɔyɛɛ boran eguarsɛn du: eguarsɛn kor dzi galɔn ahaanan: na eguarsɛn biara yɛ basafa ebien: na eguarsɛn kor wɔ ndaka du no mu kor biara no do.", ""
"1KI.7.39", "Na ɔdze ndaka no sisii, enum wɔ ɔdan no n’enyimfa afamu, na enum so wɔ ɔdan no n’abankum afamu: na ɔdze po no sii ɔdan no ne nyimfa afamu wɔ boka afamu a ɔhwɛ pomu afamu no.", ""
"1KI.7.40", "Na Hiram yɛɛ eguarsɛn, na nsofi, na mbɛɛsen no. Nna Hiram wiee edwuma a ɔyɛe maa ɔhen Solomon wɔ EWURADZE ne fi no ho nyinara yɛ:", ""
"1KI.7.41", "edum ebien no, na edum no n’etsifi ntaadotsir apɔw ebien no; na ntenadwuma ebien no a wɔdze kataa edum no n’etsifi ntaadotsir apɔw ebien no ho no;", ""
"1KI.7.42", "na ntenadwuma ebien no ho pɔmegranate eduaba ahaanan no; pɔmegranate eduaba akyerɛpɛn ebien yɛ atenadwuma kor nedze, dɛ ɔkata ntaadotsir no n’apɔw ebien no a ɔwɔ edum no no do no ho;", ""
"1KI.7.43", "na ndaka du no, na ndaka no do eguarsɛn du no;", ""
"1KI.7.44", "na po kor no, na po no n’ase anantwi duebien no;", ""
"1KI.7.45", "na asɛn, na nsofi, na mbɛɛsen no: mekyerɛ ndzɛmba yi nyinara a Hiram yɛe maa ɔhen Solomon, wɔ EWURADZE ne fi no ho no, yɛ boran a wɔapɔw ho.", ""
"1KI.7.46", "Jordan Tɛtɛr no do na ɔhen no gui, wɔ hyirew daadze mu wɔ Sukɔt na Zaretan ntamu.", ""
"1KI.7.47", "Na Solomon gyaa ndzɛmba no nyinara ker, osiandɛ ɔso dodow mbordo: woennhu boran no ne nkerii ano.", ""
"1KI.7.48", "Na Solomon yɛɛ ndzɛmba no a ɔwɔ EWURADZE ne fie no mu no nyinara: sika afɔrmbukyia no, na ɔpon no a kyerɛpaanoo no si do no, sika;", ""
"1KI.7.49", "na nkandzeadua no, enum wɔ enyimfa afamu, na enum so wɔ abankum, mpiakyir no enyim, sika mapa: na nhyiren, na nkandzea, na adaban no, sika;", ""
"1KI.7.50", "na mpokuwa, na nsompokuwa, na mbɛɛsen, na ntser, na ogyasɛn no, sika mapa; na no mu afamu ɔdan no, bea krɔnkrɔn ho mbobow, na ɔdan no, mekyerɛ asɔrfi no ho mbobow no ho apontsɛr so sika a.", ""
"1KI.7.51", "Na wowiee edwuma a ɔhen Solomon yɛe no wɔ EWURADZE ne fie no ho no nyinara yɛ. Na Solomon dze ndzɛmba a n’egya David tui sii hɔ no, mekyerɛ dwetɛ, na sika, na ndzɛmbandzɛmba no bae, na ɔdze besisii EWURADZE fie ndzekoradzebea no mu.", ""
