"NUM.13.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.13.2", "Soma mbanyin ma wɔnkɛsera Keenan asaase a medze rema Israelmba no: hɔn egyanom ebusuakuw biara mu no hom nsoma mu banyin kor, na hɔn nyina nyɛ hɔn mu mbapɔmba no bi.", ""
"NUM.13.3", "Na Moses somaa hɔn fi Paran sar do dɛ mbrɛ EWURADZE mbrasɛm tse: hɔn nyinara wɔyɛ mbanyin a wɔyɛ Israelmba mu etsitsir.", ""
"NUM.13.4", "Na hɔn edzin nye yi: Reuben ebusuakuw dze, Zakur ne babanyin Sammua.", ""
"NUM.13.5", "Simeon ebusuakuw dze, Hori ne babanyin Safat.", ""
"NUM.13.6", "Juda ebusuakuw dze, Jefune ne babanyin Kaleb.", ""
"NUM.13.7", "Isakar ebusuakuw dze, Josef ne babanyin Igal.", ""
"NUM.13.8", "Efraim ebusuakuw dze, Nun ne babanyin Hosea.", ""
"NUM.13.9", "Benjamin ebusuakuw dze, Rafu ne babanyin Palti.", ""
"NUM.13.10", "Zebulun ebusuakuw dze, Sodi ne babanyin Gaddiel.", ""
"NUM.13.11", "Josef ebusuakuw dze, mekyerɛ Manaasɛ ebusuakuw dze, Susi ne babanyin Gaddi.", ""
"NUM.13.12", "Dan ebusuakuw dze, Gemali ne babanyin Ammiel.", ""
"NUM.13.13", "Aser ebusuakuw dze, Maekɛl ne babanyin Setur.", ""
"NUM.13.14", "Naftali ebusuakuw dze, Vofsi ne babanyin Nahibi.", ""
"NUM.13.15", "Gad ebusuakuw dze, Maki ne babanyin Geuel.", ""
"NUM.13.16", "Iyinom nye mbanyin a Moses somaa hɔn dɛ wɔnkɛsera asaase no hɔn edzin. Na Moses frɛɛ Nun ne babanyin Hosea no dɛ Josua.", ""
"NUM.13.17", "Na Moses somaa hɔn dɛ wɔnkɛsera Keenan asaase no, na ɔsee hɔn dɛ, Hom mfa pomu afamu ɔkwan yi do, na hom nkɔfow mbepɔw no:", ""
"NUM.13.18", "na wɔnhwɛ asaase no, mbrɛ ɔtse; nye ɔman a wɔtse do no, kyerɛ dɛ wɔyɛ dzen anaa wɔyɛ mberɛw, dɛ wosuar anaa wɔdɔɔ so;", ""
"NUM.13.19", "nye mbrɛ asaase a wɔtse do no tse, dɛ oye anaa omuo; na mbrɛ nkurow a wɔtsetse mu no tsetsee, dɛ wɔtsetse nseraban mu, anaa akoban mu;", ""
"NUM.13.20", "na mbrɛ asaase no tse, dɛ ɔyɛ sɔɔsɔɔ anaa etwee, dɛ ndua wɔ do anaa ɔnntse dɛm. Na hom nnya akokodur, na wɔmfa asaase no do aba bi mbra. Nna aber no yɛ esikyireamba ababer a odzi kan n'aber.", ""
"NUM.13.21", "Nna wosii mu kɔree, na wɔkɛseraa asaase no fi Zin sar do kodur Rehob, wɔ mbrɛ wɔnam kɔ Hamat no.", ""
"NUM.13.22", "Na wɔfowee faa Pomu afamu, na wodur Hebron; na hɔ na Anakmba no, Ahiman, Sesai, nye Talmai, wɔwɔ. (Na Hebron yi wɔkyekyeer no mfe esuon ansaana wɔrekyekyer Zoan a ɔwɔ Egypt.)", ""
"NUM.13.23", "Na wodur Eskol ɔbɔn no mu, na wotwaa abaw a esikyireamba siaw kor wɔ do wɔ hɔ, na beenu wuraa no dua soae; na wɔdze pɔmegranate eduaba, nye adɔmba so bi bae.", ""
"NUM.13.24", "Wɔfrɛɛ bea no Eskol ɔbɔn no mu, osian siaw no a Israelmba twaa no wɔ hɔ no ntsi.", ""
"NUM.13.25", "Na adaduanan soe no, wɔsanee fii asaase no ne nserae mu bae.", ""
"NUM.13.26", "Na wosii mu na wɔbaa Moses, nye Aaron, nye Israelmba mboanofo no nyinara nkyɛn, wɔ Paran sar do, wɔ Kades; na wɔbɔɔ hɔn amandzɛɛ kyerɛɛ hɔn, nye mboanofo no nyinara, na wɔdze asaase no do aba no kyerɛɛ hɔn.", ""
"NUM.13.27", "Na wɔkaa kyerɛɛ no, na wɔsee dɛ, Yɛkɔr asaase a esomaa hɛn do no do, na numfonsu nye ewo pem wɔ do ampa; na no do aba nye yi.", ""
"NUM.13.28", "Naaso ɔman a wɔtse asaase no do no na wɔyɛ dzen, na nkurow no wɔabɔ ho ban, ɔsoso dodow: na nkyii so yehun Anakmba wɔ hɔ.", ""
"NUM.13.29", "Amalek tse Pomu afamu asaase no do: na Hitifo, nye Jebusfo, nye Amorifo, tsetse mbepɔw no do: na Keenanfo tse po no ho, nye Jordan nkyɛn.", ""
"NUM.13.30", "Na Kaleb dwedwee ɔman no wɔ Moses enyim, na ɔsee dɛ, Hom mma yɛnkɔfow nkɔ prɛko, na yɛnkɛfa, na yebotum edzi hɔn do nyim.", ""
"NUM.13.31", "Na mbanyin a wɔnye no kɔree no dze see dɛ, Yerunntum nnkɔfow nnkɔ nnkɛhyɛ ɔman no do; osiandɛ wɔyɛ dzen sen hɛn.", ""
"NUM.13.32", "Na wɔdze asaase a wɔkɛserae no ho atsenka bɔn brɛɛ Israelmba no dɛ, Asaase a yɛakɛfa mu akɛsera no, ɔyɛ asaase a odzi no do atsefo no; na nkorɔfo a yehun hɔn wɔ do no nyinara wɔyɛ nyimpa a wɔyɛ akraban.", ""
"NUM.13.33", "Na hɔ na yehun abran akɛse no, Anak ne mbabanyin no a wofi Nefilfo mu no: na yɛyɛɛ dɛ mbɛbɛw wɔ hɛnankasa hɛn enyi do, na dɛmara na yɛyɛe wɔ hɔn enyi do.", ""
