"NUM.28.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.28.2", "Hyɛ Israelmba no, na se hɔn dɛ, M'ayɛyɛdze, me gya afɔr edziban a oyi nka huanhuam ma me no, hom ndwen do mfa mbrɛ me wɔ ne ber mu.", ""
"NUM.28.3", "Na se hɔn dɛ, Ogya afɔr a hom mfa mbrɛ EWURADZE nye yi; nguambaanyin a woedzi afrenhyia afrenhyia a wonndzii dzɛm, na wɔmfa ebien da kor mbɔ ɔhyew afɔr daa.", ""
"NUM.28.4", "Eguambaa kor na fa bɔ afɔr anapa na eguambaa kor so fa bɔ afɔr ewimbir;", ""
"NUM.28.5", "na fa isiam pa efa ebupɛn du mu kor yɛ edziban afɔr a wɔdze ngo a woesiw  hin   ebupɛn anan mu kor afrɔw.", ""
"NUM.28.6", "Ɔyɛ daa afɔr a wɔhyehyɛe wɔ bepɔw Sinai do a oyi nka huanhuam a ɔyɛ ogya afɔr ma EWURADZE.", ""
"NUM.28.7", "Na no nom afɔr wɔ eguambaa kor ho nyɛ  hin   ebupɛn anan mu kor: na bea krɔnkrɔn no do na hue ɔnom afɔr nsadzen no ma EWURADZE.", ""
"NUM.28.8", "Na eguambaa kor no so fa bɔ afɔr ewimbir no: dɛ mbrɛ anapa edziban afɔr no tse, na mbrɛ no nom afɔr no tse no, na fa bɔ ne gya afɔr a oyi nka huanhuam ma EWURADZE.", ""
"NUM.28.9", "Na ahomgyeda no nguambaanyin ebien a woedzi afrenhyia afrenhyia a wonndzii dzɛm, nye edziban afɔr isiam pa efa ebupɛn du mu ebien a wɔdze ngo afrɔw nye no nom afɔr:", ""
"NUM.28.10", "iyi nye ahomgyeda biara ne hyew afɔr a ɔka daa ɔhyew afɔr, nye no nom afɔr ho.", ""
"NUM.28.11", "Na hom abosoom ahyɛse no hom mbɔ ɔhyew afɔr mma EWURADZE; anantwisaa mburwa ebien, nye oguannyin kor, nguambaanyin esuon a woedzi afrenhyia afrenhyia a wonndzii dzɛm;", ""
"NUM.28.12", "na edziban afɔr isiam pa efa ebupɛn du mu ebiasa a wɔdze ngo afrɔw, nka ɔnantwisaa kor ho; na edziban afɔr isiam pa ebupɛn du mu ebien a wɔdze ngo afrɔw nka oguannyin kor no ho;", ""
"NUM.28.13", "na edziban afɔr isiam pa ebupɛn du mu nkorkor a wɔdze ngo afrɔw, nka eguambaa biara ho; nyɛ ɔhyew afɔr a oyi nka huanhuam, ogya afɔr mma EWURADZE.", ""
"NUM.28.14", "Na no nom afɔr nyɛ wenyin  hin   ɔfa nka ɔnantwisaa kor ho, na  hin   ebupɛn ebiasa mu kor nka oguannyin no ho, na  hin   ebupɛn anan mu kor nka eguambaa kor ho: iyi nye bosoom biara ne hyew afɔr wɔ afrenhyia abosoom no nyina mu.", ""
"NUM.28.15", "Na wɔmfa apɔnkyenyin kor mbɔ bɔn ho afɔr mma EWURADZE; mfa nka daa ɔhyew afɔr no, nye no nom afɔr no ho.", ""
"NUM.28.16", "Na bosoom a odzi kan no mu, bosoom no ne da a otsia duanan no, ɔyɛ EWURADZE apaho.", ""
"NUM.28.17", "Na bosoom no ara ne da a otsia duenum no, nyɛ afahyɛ da: nda esuon na wondzi epitsi boodoo.", ""
"NUM.28.18", "Da a odzi kan no nyɛ nhyiamu krɔnkrɔn; mma mma hom nnyɛ edwumadzen biara:", ""
"NUM.28.19", "mbom hom mbɔ ogya afɔr, ɔhyew afɔr mma EWURADZE; anantwisaa mburwa ebien, nye oguannyin kor, nye nguambaanyin esuon a woedzi afrenhyia afrenhyia: wɔnyɛ dza wonndzii dzɛm mma hom:", ""
"NUM.28.20", "nye n'edziban afɔr, isiam pa a wɔdze ngo afrɔw: ebupɛn du mu ebiasa na hom mfa nka ɔnantwisaa kor ho, na ebupɛn du mu ebien nka oguannyin no ho mbra;", ""
"NUM.28.21", "ebupɛn du mu nkorkor na fa ka nguambaa esuon no mu eguambaa biara ho bra;", ""
"NUM.28.22", "na bɔn ho afɔr apɔnkyenyin kor, ma wɔmfa mpata mma hom.", ""
"NUM.28.23", "Hom nyɛ iyinom nka anapa ɔhyew afɔr a ɔyɛ daa ɔhyew afɔr no ho.", ""
"NUM.28.24", "Dɛm yi ara na hom nyɛ ogya afɔr edziban a oyi nka huanhuam ma EWURADZE no, daa daa, nda esuon: wɔnyɛ nka daa ɔhyew afɔr no, na no nom afɔr no ho.", ""
"NUM.28.25", "Na da a otsia esuon no hom nyɛ nhyiamu krɔnkrɔn; mma hom nnyɛ edwumadzen biara.", ""
"NUM.28.26", "Eso nduadzewakan da no mu, sɛ hom dze edziban fofor afɔr rebrɛ EWURADZE wɔ hom adapɛn afahyɛ mu a, hom nyɛ nhyiamu krɔnkrɔn; mma hom nnyɛ edwumadzen biara:", ""
"NUM.28.27", "mbom hom mbɔ ɔhyew afɔr a oyi nka huanhuam mma EWURADZE; anantwisaa mburwa ebien, oguannyin kor, nguambaanyin esuon a woedzi afrenhyia afrenhyia;", ""
"NUM.28.28", "na n'edziban afɔr, isiam pa a wɔdze ngo afrɔw, ebupɛn du mu ebiasa nka ɔnantwisaa kor ho, ebupɛn du mu ebien nka oguannyin kor no ho,", ""
"NUM.28.29", "ebupɛn du mu nkorkor nka eguambaa esuon no mu eguambaa biara ho;", ""
"NUM.28.30", "apɔnkyenyin kor, ma wɔmfa mpata mma hom.", ""
"NUM.28.31", "Hom nyɛ mfa nka daa ɔhyew afɔr no, nye n'edziban afɔr no, nye no nom afɔr no ho.", ""
