"NUM.26.41", "Iyinom nye Benjamin ne mbabanyin dɛ mbrɛ hɔn ebusua ebusua tsetsee: na hɔn a wɔkaan hɔn wɔ mu wɔyɛ mpemeduanan enum nye ahaesia.", ""
"NUM.26.42", "Iyinom nye Dan ne mbabanyin dɛ mbrɛ hɔn ebusua ebusua tsetsee: Suham dze, Suhamfo ebusua. Iyinom nye Dan ebusua dɛ mbrɛ hɔn ebusua ebusua tsetsee.", ""
"NUM.26.43", "Suhamfo ebusua nyinara, dɛ mbrɛ hɔn a wɔkaan hɔn wɔ mu tse, wɔyɛ mpemeduosia anan nye ahaanan.", ""
"NUM.26.44", "Aser ne mbabanyin dɛ mbrɛ hɔn ebusua ebusua tsetsee: Imna dze, Imnafo ebusua: Isvi dze, Isvifo ebusua: Beria dze, Beriafo ebusua.", ""
"NUM.26.45", "Beria ne mbabanyin dze: Heber dze, Heberfo ebusua: Malkiel dze, Malkielfo ebusua.", ""
"NUM.26.46", "Na Aser ne babaa ne dzin dze Sera.", ""
"NUM.26.47", "Iyinom nye Aser ne mbabanyin ebusua ebusua dɛ mbrɛ hɔn a wɔkaan hɔn wɔ mu tse, mpemeduonum ebiasa nye ahaanan.", ""
"NUM.26.48", "Naftali ne mbabanyin dɛ mbrɛ hɔn ebusua ebusua tsetsee: Jahzeel dze, Jahzeelfo ebusua: Guni dze, Gunifo ebusua:", ""
"NUM.26.49", "Jezer dze, Jezerfo ebusua: Sillem dze, Sillemfo ebusua.", ""
"NUM.26.50", "Iyinom nye Naftali ebusua dɛ mbrɛ hɔn ebusua ebusua tsetsee: na hɔn a wɔkaan hɔn wɔ mu wɔyɛ mpemeduanan enum nye ahaanan.", ""
"NUM.26.51", "Iyinom nye hɔn a wɔkaan hɔn wɔ Israelmba mu, mpemahaesia nye kor ahaesuon eduasa.", ""
"NUM.26.52", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.26.53", "Iyinom na wɔnkyɛ asaase no mma hɔn dɛ egyapadze dɛ mbrɛ edzin no no dodow tse.", ""
"NUM.26.54", "Nyia ɔso no ma no egyapadze a ɔso, na nyia osuar no ma no egyapadze a osuar: obiara dɛ mbrɛ hɔn a wɔkaan hɔn no mu tse no na wɔmfa n'egyapadze mma no.", ""
"NUM.26.55", "Naaso asaase no wɔmfa tonto nkyɛ: dɛ mbrɛ hɔn egyanom ebusuakuw ebusuakuw edzin tsetsee no na wonnya egyapadze no.", ""
