"NUM.8.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.8.2", "Kasa kyerɛ Aaron na se no dɛ, Sɛ esosɔ nkandzea no a, nkandzea esuon no ngyegye kandzeadua no enyim.", ""
"NUM.8.3", "Na Aaron yɛɛ dɛm; ɔsosɔɔ ne nkandzea ma ɔgyegyee kandzeadua no enyim, dɛ mbrɛ EWURADZE hyɛɛ Moses no.", ""
"NUM.8.4", "Na iyi nye kandzeadua no ne yɛbea, sika a ɔabor ara nko; fi n’ase dze kodu ne nhyiren do nyinara yɛ ɔbor edwuma: dɛ mbrɛ nsusudo a EWURADZE dze kyerɛɛ Moses no tse no, dɛmara na ɔyɛɛ kandzeadua no.", ""
"NUM.8.5", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.8.6", "Yi Levifo no wɔ Israelmba mu, na tsew hɔn ho.", ""
"NUM.8.7", "Dɛm na yɛ hɔn fa tsew hɔn ho: fa bɔnyi ho nsu petse hɔn do, na ma wɔmfa oyindam nyiyi hɔnho nyinara, na ma wɔnhor hɔn ntar mfa ntsew hɔnho.", ""
"NUM.8.8", "Nna ma wɔmfa ɔnantwisaa eburwa, nye n’edziban afɔr, isiam pa a wɔdze ngo afrɔw, na fa ɔnantwisaa eburwa kor so bɔ bɔn ho afɔr.", ""
"NUM.8.9", "Na fa Levifo no bra ehyiadzibuw no enyim: na ma Israelmba mboanofo no nyinara mbɔbɔ ngua:", ""
"NUM.8.10", "na fa Levifo no bra EWURADZE enyim: na Israelmba mfa hɔn nsa ngu Levifo no do.", ""
"NUM.8.11", "Afei Aaron ntu Levifo no nsi hɔ dɛ ɔtow afɔr wɔ EWURADZE enyim, mfa ngyina Israelmba no ananmu, ma wɔntsena hɔ nyɛ EWURADZE n’edwuma.", ""
"NUM.8.12", "Na Levifo no mfa hɔn nsa ngu anantwisaa no etsifi: na fa kor bɔ bɔn ho afɔr, na fa kor so bɔ ɔhyew afɔr ma EWURADZE, ma ɔnyɛ mpata mma Levifo no.", ""
"NUM.8.13", "Na fa Levifo no gyina Aaron nye ne mbabanyin no enyim, na tu hɔn si hɔ dɛ ɔtow afɔr ma EWURADZE.", ""
"NUM.8.14", "Dɛm na tsew Levifo no fi Israelmba mu: na Levifo no mbɛyɛ medze.", ""
"NUM.8.15", "Na n’ekyir no Levifo no nkɔ nkɛyɛ ehyiadzibuw no ho edwuma: na tsew hɔn ho, na tu hɔn si hɔ dɛ ɔtow afɔr.", ""
"NUM.8.16", "Osiandɛ wɔdze hɔn ama me koraa efi Israelmba no mu; medze hɔn ahyɛ dza obue yafun nyinara, mekyerɛ Israelmba mu mbakan nyinara ananmu mafa.", ""
"NUM.8.17", "Na Israelmba mu mbakan nyinara yɛ medze, nyimpa nye mbowa nyina da a mobobɔɔ Egypt asaase do mbakan nyinara no na metseew hɔn ho maa moho.", ""
"NUM.8.18", "Na mafa Levifo no ahyɛ Israelmba mu mbakan nyinara ananmu.", ""
"NUM.8.19", "Na medze Levifo no ama Aaron nye ne mbabanyin no dɛ akyɛdze a ofi Israelmba mu dɛ wɔnyɛ edwuma wɔ ehyiadzibuw no mu, na wɔmpata mma Israelmba ama sɛ Israelmba no rotwe bɛn ahotseweebea no a, ɔyardɔm bi aammba Israelmba no mu.", ""
"NUM.8.20", "Dɛm na Moses, nye Aaron, nye Israelmba mboanofo no nyinara, yɛɛ Levifo no. Dɛ mbrɛ EWURADZE hyɛɛ Moses wɔ Levifo no ho nyinara no, dɛmara na Israelmba no yɛɛ hɔn.", ""
"NUM.8.21", "Na Levifo no tseew hɔnho fii bɔn ho, na wɔhoor hɔn ntar; na Aaron tuu hɔn sii hɔ yɛɛ ɔtow afɔr wɔ EWURADZE enyim; na Aaron patae maa hɔn dze tseew hɔn ho.", ""
"NUM.8.22", "Na n’ekyir no Levifo no kɔree kɛyɛɛ hɔn edwuma wɔ ehyiadzibuw no mu wɔ Aaron, nye ne mbabanyin no enyim: na dɛ mbrɛ EWURADZE hyɛɛ Moses wɔ Levifo no ho no, dɛmara na wɔyɛɛ hɔn.", ""
"NUM.8.23", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.8.24", "Dza ɔyɛ Levifo dze no nye yi: hɔn a woedzi mfe eduonu enum nye ekyir no nkɔ nkɔsom wɔ ehyiadzibuw no edwuma no mu:", ""
"NUM.8.25", "na ofi hɔn a woedzi mfe eduonum do no ngyaa edwuma yɛ, na mma wɔnnkɔsom bio;", ""
"NUM.8.26", "mbom wɔnye hɔn nuanom nsom wɔ ehyiadzibuw no mu, nhwɛ ahwɛdodze no, na ɔsom edwuma no na mma wɔnnyɛ. Dɛm na yɛ ma Levifo no wɔ hɔn ahwɛdodze ho afamu.", ""
