"NUM.34.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.34.2", "Hyɛ Israelmba no mbra, na se hɔn dɛ, Sɛ hom du Keenan asaase no do a, (iyi nye asaase a ɔda hɔ ma hom dɛ egyapadze, mekyerɛ Keenan asaase no dɛ mbrɛ n’ahe tsetsee,)", ""
"NUM.34.3", "ɔno hom pomu afamu nkyɛn mfi Zin sar do wɔ Edom nkyɛn mu, na hom pomu ɔhe mfi Nkyen Epo ano wɔ boka afamu:", ""
"NUM.34.4", "na hom ɔhe no ndan mfa Akrabbim mfowee pomu afamu, na ontwa mu nkɔ Zin: na n’edzifir ndu Kades-barnea pomu afamu; na ɔnkɔ Hazar-adar, na ontwa mu nkɛfa Azmon:", ""
"NUM.34.5", "na ɔhe no mpon mfi Azmon nkɔ Egypt ɔwora ho, na n’edzifir ndu po no ano.", ""
"NUM.34.6", "Na anee afamu ɔhe no dze, hom wɔ po kɛse no dze yɛ ne he: iyi na ɔnyɛ hom anee ɔhe.", ""
"NUM.34.7", "Na iyi nyɛ hom kwaamu ɔhe: hom mfi po kɛse no ho nsan bepɔw Hor mfa:", ""
"NUM.34.8", "bepɔw Hor ho na hom mfi nsan mbrɛ wɔfa kɔ Hamat; na ɔhe no n’edzifir ndu Zedad:", ""
"NUM.34.9", "na ɔhe no mfir edzi nkɔ Zifron, na n’edzifir ndu Hazar-enan: iyi na ɔnyɛ hom kwaamu ɔhe.", ""
"NUM.34.10", "Na hom nsan boka he mfa mfi Hazar-enan nkɔ Sefam:", ""
"NUM.34.11", "na ɔhe no mfi Sefam nsian nkɔ Ribla, wɔ Ain no boka afamu, na ɔhe no nsian araa nkodu Kinneret pomu afamu wɔ boka afamu:", ""
"NUM.34.12", "na ɔhe no nsian nkodu Jordan do, na n’edzifir ndu Nkyen Po ho: iyi nye hom asaase dɛ mbrɛ no ho ahe tsetsee.", ""
"NUM.34.13", "Na Moses hyɛɛ Israelmba no mbra dɛ, Iyi nye asaase a hom ntwe ho tonto mfa nkyɛ no a EWURADZE ahyɛ dɛ wɔmfa mma mbusuakuw akron, nye ebusuakuw ɔfa no;", ""
"NUM.34.14", "nye Reubenmba ebusuakuw, dɛ mbrɛ hɔn egyanom efi tsetsee nye Gadmba ebusuakuw dɛ mbrɛ hɔn egyanom efi tsetsee, nye Manaasɛ ebusuakuw ɔfa no, woenya hɔn egyapadze:", ""
"NUM.34.15", "na mbusuakuw ebien no nye ebusuakuw ɔfa no enya hɔn egyapadze wɔ Jeriko Jordan egya wɔ boka afamu ɔdze kɔ wipuei no.", ""
"NUM.34.16", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.34.17", "Iyinom nye mbanyin a wɔnkyɛ asaase no mu mma hom no hɔn edzin: ɔsɔfo Eleazar, nye Nun ne babanyin Josua.", ""
"NUM.34.18", "Na hom nyi ebusuakuw biara mu ɔbapɔmba kor ma wɔnkyɛ asaase no mu.", ""
"NUM.34.19", "Na mbanyin no hɔn edzin nye yi: Juda n’ebusuakuw mu, Jefune ne babanyin Kaleb.", ""
"NUM.34.20", "Simeon ne mba ebusuakuw mu, Ammihud ne babanyin Semuel.", ""
"NUM.34.21", "Benjamin n’ebusuakuw mu, Kislon ne babanyin Elidad.", ""
"NUM.34.22", "Nye Dan ne mba ebusuakuw mu ɔbapɔmba, Jogli ne babanyin Bukki.", ""
"NUM.34.23", "Josef ne mba mu: Manaasɛ ne mba ebusuakuw mu ɔbapɔmba, Efod ne babanyin Hanniel:", ""
"NUM.34.24", "nye Efraim ne mba ebusuakuw mu ɔbapɔmba, Siftan ne babanyin Kemuel.", ""
"NUM.34.25", "Na Zebulun ne mba ebusuakuw mu ɔbapɔmba, Parnak ne babanyin Elizafan.", ""
"NUM.34.26", "Na Isakar ne mba ebusuakuw mu ɔbapɔmba, Azzan ne babanyin Paltiel.", ""
"NUM.34.27", "Na Aser ne mba ebusuakuw mu ɔbapɔmba, Selomi ne babanyin Ahihud.", ""
"NUM.34.28", "Na Naftali ne mba ebusuakuw mu ɔbapɔmba, Ammihud ne babanyin Pedahel.", ""
"NUM.34.29", "Iyinom nye hɔn a EWURADZE hyɛɛ hɔn dɛ wɔnkyɛ Keenan asaase no mu mma Israelmba no.", ""
