"NUM.5.1", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.5.2", "Hyɛ Israelmba ma wontu ɔkwatanyi biara, nye obiara a ɔwɔ ahosen, nye onyia biara a ɔdze fun egu noho fi, mfi nseraban no mu:", ""
"NUM.5.3", "ɔbanyin o ɔbaa o hom ntu no. Nseraban no ekyir na hom ntu hɔn nkogu amma woeenngu hɔn nseraban a metse ne finimfin no ho fi.", ""
"NUM.5.4", "Na Israelmba no yɛɛ dɛmara, na wotuu hɔn koguu nseraban ekyir: na dɛ mbrɛ EWURADZE kasaa kyerɛɛ Moses no, dɛmara na Israelmba no yɛe.", ""
"NUM.5.5", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.5.6", "Kasa kyerɛ Israelmba dɛ, Sɛ ɔbanyin anaa ɔbaa yɛ bɔn tsia nyimpa bi, dze fom EWURADZE, na ɔkra no dzi so a;", ""
"NUM.5.7", "ɔno ɔmpaa mu nka hɔn bɔn a wɔayɛ no: na ontua n'asodzidze no imu, na ɔmfa no mu ebupɛn enum mu kor nto do, na ɔmfa mma nyia ɔafom no edzi so no.", ""
"NUM.5.8", "Mbom sɛ nyimpa no ewu na onnyi bɔgya bi a ɔbɛn no a wɔdze asodzidze bɛma no wɔ asodzi no ntsi a, asodzi no ho asodzidze no yɛ EWURADZE dze na ɔnyɛ ɔsɔfo no dze; nka mpata oguannyin no a wɔdze rebɛpata ama no no ho.", ""
"NUM.5.9", "Na ɔtow afɔr biara a ɔwɔ Israelmba adzekrɔnkrɔn nyinara mu a wɔdze brɛ ɔsɔfo no, nyɛ nedze.", ""
"NUM.5.10", "Na nyimpa biara n'adzekrɔnkrɔn a ɔdze ba no yɛ ɔsɔfo no dze: biribiara a nyimpa biara dze ma ɔsɔfo no, nedze ara na ɔnyɛ.", ""
"NUM.5.11", "Na EWURADZE kasaa kyerɛɛ Moses dɛ,", ""
"NUM.5.12", "Kasa kyerɛ Israelmba, na se hɔn dɛ, Sɛ ɔbanyin bi ne yer fi ne nkyɛn, na ɔkɔfom no,", ""
"NUM.5.13", "na ɔbanyin bi nye no da dze no ho nsu ma no, na wɔdze suma no kun, na wosiw do, na ogu noho fi, na no ho ɔdasefo bi nnyi hɔ, nkyii so wɔannkyer no wɔ do;", ""
"NUM.5.14", "na nyinkun sunsum ba no do, na ɔtwe ne yer no ho nyinkun, na sɛ basia no egu noho fi ampa: anaa sɛ nyinkun sunsum ba no do, na ɔtwe ne yer no ho nyinkun, na sɛ basia no nguu noho fi a:", ""
"NUM.5.15", "ɔno ɔbanyin no mfa ne yer no mbrɛ ɔsɔfo no, na ɔmfa no ho ayɛyɛdze mbra, atoko isiam efa ebupɛn du mu kor; mma ɔmmfa ngo nngu do, na ɔmmfa krɔbɔw so nnto do; osiandɛ ɔyɛ nyinkun ho edziban afɔr na nkaa ho edziban afɔr, a wɔdze kaa emumuyɛ.", ""
"NUM.5.16", "Na ɔsɔfo no mfa no mbɛn, na ɔmfa no mbegyina EWURADZE enyim:", ""
"NUM.5.17", "na ɔsɔfo no mfa nsu krɔnkrɔn ngu dɛtse kɔɔpow bi mu; na ɔsɔfo no mfa ntamadan no ne daadze huntuma no bi, ngu nsu no mu:", ""
"NUM.5.18", "na ɔsɔfo no mfa ɔbaa no ngyina EWURADZE enyim, na ontutu ɔbaa no ne tsinhwi ngu do, na ɔmfa nkaa edziban afɔr no a ɔyɛ nyinkun edziban afɔr no nhyɛ ne nsamu: na ɔsɔfo no nkitsa nsu wenwen a ɔdze ndom ba no wɔ ne nsamu.", ""
"NUM.5.19", "Na ɔsɔfo no mma ondzi nsew, na ɔnse ɔbaa no dɛ, Sɛ banyin bi nnye wo nndae, na sɛ immfii wo kun nkyɛn nnkoguu woho fi a, wo ho nyɛ tɔtrɔtɔ wɔ nsu wenwen a ɔdze ndom ba yi ho:", ""
"NUM.5.20", "mbom sɛ efi wo kun nkyɛn, ber a ewar wo kun yi na sɛ ekogu woho fi, na banyin bi nye wo ada ka wo kun ho a:", ""
"NUM.5.21", "ɔno ɔsɔfo no mma ɔbaa no mfa ndom ntam ndzi nsew, na ɔsɔfo no nse ɔbaa no dɛ, EWURADZE nyɛ wo dzin ndom nye ntam wɔ wo man mu, aber a EWURADZE bɛma w'aserɛ atotɔ mu, na wo yafun ahon.", ""
"NUM.5.22", "Na nsu a ɔdze ndom ba yi akɛhɛn wo nson mu, na ɔama wo yafun ahon, na w'aserɛ atotɔ mu: na ɔbaa no nse dɛ, Amen, Amen.", ""
"NUM.5.23", "Na ɔsɔfo no nkyerɛw ndom yi wɔ nwoma mu, na ɔmpepa ngu nsu wenwen no mu:", ""
"NUM.5.24", "na ɔmma ɔbaa no nnom nsu wenwen a ɔdze ndom ba no: na nsu a ɔdze ndom ba no nkɔ no mu nkɛyɛ wenwen.", ""
"NUM.5.25", "Na ɔsɔfo no ngye nyinkun ho edziban afɔr no wɔ ɔbaa no nsamu, na ɔntow edziban afɔr no wɔ EWURADZE enyim, na ɔmfa mbra afɔrmbukyia no ho;", ""
"NUM.5.26", "na ɔsɔfo no mfa edziban afɔr no mu nsapuw, dɛ ne nkaadze, na ɔnhyew no wɔ afɔrmbukyia no do, na n'ekyir no ɔmma ɔbaa no nnom nsu no.", ""
"NUM.5.27", "Na ɔbɛba dɛ aber a ɔama ɔanom nsu no, sɛ oegu noho fi na ɔayɛ bɔn etsia no kun a, nsu no a ɔdze ndom ba no bɛhɛn no mu akɛyɛ wenwen, na ne yafun ahon, na n'aserɛ atotɔ mu: na ɔbaa no ayɛ ndom wɔ ne man mu.", ""
"NUM.5.28", "Na sɛ ɔbaa no ho enngu fi, na no ho tsew dze a; ɔno no ho bɛyɛ tɔtrɔtɔ, na oenyinsen ɔba.", ""
"NUM.5.29", "Iyi nye nyinkun ho mbra, sɛ ɔyer bi fi no kun nkyɛn na okogu noho fi;", ""
"NUM.5.30", "anaa sɛ nyinkun sunsum ba banyin bi do, na ɔtwe ne yer ho nyinkun a; ɔno ɔmfa ɔbaa no mbegyina EWURADZE enyim, na ɔsɔfo no nyɛ no mbra yi mu adze nyinara.", ""
"NUM.5.31", "Na ɔbanyin no ho bɛyɛ tɔtrɔtɔ wɔ emumuyɛ ho, na ɔbaa no asoa n'emumuyɛ.", ""
