"ACT.2.1", "Ber a Pentekost da no durii no, nna hɔn nyina ehyia fakor.", "#Lev 23.15-21; Deut 16.9-11"
"ACT.2.37", "Na wɔtsee nsɛm no hɔn akoma mu wowɔɔ hɔn, na wɔsee Peter nye asomafo nkaa no dɛ, Enuanom, yɛnyɛ dɛn?", ""
"ACT.2.38", "Na Peter see hɔn dɛ, Hom nnu homho, na wonnuma hom nyina wɔ Jesus Kraest ne dzin mu nkɔ bɔnfakyɛ mu, na hom benya Sunsum Krɔnkrɔn no akyɛdze no.", ""
"ACT.2.39", "Osiandɛ anohoba no yɛ hom nye hom mba nye hɔn a wɔwɔ ekyirekyir a Ewuradze hɛn Nyankopɔn bɛfrɛ hɔn aba ne nkyɛn nyina dze.", ""
"ACT.2.40", "Na ɔdze nsɛm pii kaa ho gyee dase kyerɛɛ hɔn, na otuu hɔn fo dɛ, Hom ngye homho mfi mbasantsen a hɔn bra akyewakyew yi ho.", ""
"ACT.2.41", "Na hɔn a wɔgyee n'asɛm no, wonumaa hɔn, na da no ara akra bɛyɛ mpensa bɛkaa hɔn ho.", ""
"ACT.2.42", "Na wɔkɔr do suoo asomafo no hɔn nkyerɛkyerɛ nye hɔn fɛkuwbɔ, nye paanoo bubu no nye mpaabɔ mu.", ""
"ACT.2.43", "Na asomafo no yɛɛ anwanwadze nye nsɛnkyerɛdze pii, na hu kaa nyimpa nyina.", ""
"ACT.2.44", "Na hɔn a wɔgyee dzii nyina boaa ano na wɔyɛɛ hɔn adze nyina dɛ kwasafodze;", "#Ndwu 4.32-35"
"ACT.2.45", "na wɔtɔɔn hɔn ahodze nye hɔn ndzɛmba, na wɔkyɛe maa hɔn nyina, dɛ mbrɛ obiara n'ehiadze tse.", ""
"ACT.2.46", "Na daa daa wɔkɔr do dze anokor bɔɔ mu hyiae wɔ asɔrfi no mu, na wohyiaa efiefi bubuu paanoo, na wɔdze ahosɛpɛw nye komakor dzii hɔn edziban.", ""
"ACT.2.47", "Woyii Nyankopɔn ayɛw na wonyaa enyimpa wɔ ɔman no nyina enyim. Na Ewuradze dze hɔn a wɔregye hɔn nkwa no kaa hɔn ho daa daa.", ""
